id,name,username,numberOfOriginalTweets,numberOfRetweets,numberOfReplies,numberOfQuotes,retweet_ids,retweet_users,reply_users,quote_users,tweets_id,numberOfFollowers,numberOfFollowing,numberOfTweets,created_at,verified,description,location
126943410,유재명 / Jae Myung Yu,lemon2sang,4.0,95.0,1.0,0.0,1611572581139877888;1609952287958654977;1612133617836195840;1652387148245475330;1647643166177148928;1618819375653605378;1611865748665950208;1651858210859663360;1652301708930990083;1651684367867998224;1652601335093800960;1618694145005985793;1600513038158815233;1543618464727924739;1386313467762667521;1639297067742007296;1622852829437198337;1621210597403643905;1580956602357911552;1580937315375288320;1583107740490403841;1612125407855218689;1586631490938421249;1612149762484060161;1355591155287777284;1652281581212520449;1624483411124539394;1624449459831570434;1603883678307799040;1606575157308522496;1605951060618514433;1604054061594066944;1604122555245215744;1604379569523511297;1604787827224768513;1605472465039364096;1617173661689221122;1651880363508248576;1647464452202328065;1651786101240270849;1647731250868699138;1651308903588659219;1651610275441696769;1651783005638377475;1647763829261230080;1652181341193252865;1651896481367072768;1651957322758094849;1651788001608097793;1651969195117264900;1622598450457071618;1650674256962031617;1650759132578996225;1649765152605224960;1651190533291909127;1650114744349782016;1650056524998529025;1649931350177374208;1649018543315501056;1648891145362214915;1645700569410195457;1647405876373000192;1651816162970447876;1648987939463106560;1648859644083965952;1649800290365841408;1649760291964461062;1648986111300227072;1620300976602185728;1620241074232102915;1620256066104872963;1620240368615981057;1620323110435311616;1647066796728672257;1649570968506089472;1647755153305632768;1647154885971050497;1647819725626540032;1647050924567982080;1641765495371337729;1647763684553535489;1641702566026424321;1643152649154617344;1622739549393911808;1652177592022355968;1652098241696247808;1651867830839660550;1651880910030004225;1651871130230333441;1651872126796988416;1651882900084895744;1651873684414685184;1652129262479237121;1651894022364090368;1651805942433091584,466718938;731163543710507008;1382286650286440450;1382286650286440450;1382286650286440450;1326205606982676480;466718938;380648579;380648579;14569869;3319929835;1072958965250752512;401616877;401616877;401616877;719990165897420804;719990165897420804;719990165897420804;719990165897420804;719990165897420804;1047868554;1047868554;257372821;257372821;22133334;24222204;34568945;942494383;746125873;131258232;1498991418618040326;3042567255;76907268;125167552;188055709;24744541;1366027715778805760;1600883397165223938;1209146886239604738;99324554;124380881;124380881;124380881;1464966367871127553;150282178;1375019878780792834;1375019878780792834;738255361501626368;132907470;317200841;1268966016;886104274605752322;4811805818;4811805818;630907747;1144774930812116992;835932179188207616;835932179188207616;835932179188207616;1152074022944776192;62275285;1369935619011403782;202125307;1412299685952294913;1262408745432178693;1008237835;1008237835;213591116;61115620;53461898;1008237835;1469313324458610690;1496413350502141954;1570079311;1248288328564105216;610873183;805660444815859712;805660444815859712;115366266;459810676;1533625702750502912;1503181175875338240;2289901675;1469313324458610690;1469313324458610690;1272335304788070400;1008237835;1008237835;1536755540117757953;1506849024586174465;53461898;183503109;56970775;213591116;61115620,126943410,,1652659594660040705;1652659493464059905;1652659474820399104;1652659403294916611;1652659383124504578;1652659361360269312;1652659341093408775;1652659324106465280;1652659301604028417;1652659286122835969;1652659268808773634;1652631121849643009;1652628909811433472;1652628824541261824;1652576572879302657;1652547849656336389;1652547672526692353;1652533900575637504;1652533869458116608;1652533842669088770;1652533806702931969;1652533743930986496;1652533706119340033;1652533644500819970;1652533624800153600;1652533595536502785;1652533573780652033;1652533508588568578;1652533485687681024;1652533466205155328;1652533443664945160;1652477691298480129;1652477673141313536;1652477656934518786;1652477641436565504;1652477625154285568;1652477609551466498;1652477595169214465;1652477578777870336;1652477562868858881;1652477545626075144;1652477202532024320;1652477118306226177;1652477102325891072;1652477084458160129;1652477061070725120;1652477046315192320;1652477032306208768;1652477015688380416;1652476994200956930;1652476976127705088;1652476961451835392;1652476944641032192;1652476925972193280;1652476759131197440;1652476738927198208;1652476631594967040;1652476542331809792;1652476511910518784;1652476475269091329;1652476437717479424;1652476417660309504;1652476401419968512;1652476321233260544;1652476306720964609;1652476290665189376;1652476234578952192;1652476209425711104;1652476178664665088;1652476162625642498;1652476146708283392;1652476130425999366;1652476113824935937;1652476093558042624;1652476077200252929;1652476055796719616;1652476037819936768;1652476020459728896;1652475993872023552;1652475975974928390;1652475958547611651;1652475938159067136;1652475896362835968;1652475875437445120;1652475854558228480;1652475821112819713;1652475793401073665;1652475776749670400;1652475758961627136;1652475719501639680;1652475703668125697;1652475685783633925;1652475669685866497;1652475653386829824;1652475627004624896;1652475609698942978;1652475590648414208;1652475574684889089;1652475558108995584;1652475533979189250,1448.0,5000.0,96486.0,2010-03-27T14:18:35.000Z,False,"https://t.co/3MObHwhrrq

#npub18shtpf6xw3d0h9nl870eq5pqqqt6pkm9g77jyzzuxsscp8w6q34sdu7rce","Seoul, Korea"
1146549086872408069,Johnny 6502,JonySixFive,0.0,37.0,6.0,0.0,1652739499426824194;1652750136563609600;1652716508899086337;1652721380356419584;1652717838539403266;1652710790212755458;1652490061664092163;1652493978447519746;1652486748717367296;1652455309733171200;1652427241274351618;1652372310979141632;1652378397685817344;1652384856746123265;1652055249547395074;1652144589053239301;1652313774085513218;1652322433301635072;1652321968946049025;1652149015428108293;1652225290955902977;1652241279416250371;1652158135547875328;1652127306125807621;1652158014584160256;1650027075523207168;1652053547083796480;1574126506095562752;1652014818172469249;1497025646534479872;1651630420868431872;1651591894109962243;1651944031398633472;1651861337587294208;1651769194109874176;1651672372099837957;1651685098515755010,1349149096909668363;731167584;21059255;459872442;84083187;1005846500583321601;41927465;194439261;34792486;20558712;493526610;20449221;22891564;593289567;1551261351347109888;28999950;246939630;17004618;17004618;75505372;3061796219;84083187;17004618;17004618;96997907;1537130875296563200;16877374;1222575429724192769;286998245;467726691;21059255;826616684026884096;2223157392;3061796219;3707653592;161290361;4848301,27717235;2611622852;18817547;15913;15913;12801162,,1652768421178929152;1652768003627569153;1652765736325222400;1652761146179612673;1652759622581886976;1652758945176629248;1652690394411597824;1652499437833584640;1652498045945417728;1652496848211546112;1652491350624075776;1652488464976465920;1652486657906728961;1652486130393300992;1652485965045440512;1652477848152838144;1652337171553206275;1652336445984747521;1652336360840372225;1652316578913062913;1652316170668883969;1652314776805191682;1652179119713714182;1652166728217149440;1652166684600594432;1652166481264934912;1652164564832882700;1652103702197714944;1652103172595544064;1652089341043417090;1652071094353022976;1652068166363922432;1652027211627773954;1652019355436351489;1651976957595205635;1651965997333774337;1651962271000834048;1651960195864723457;1651959389212016641;1651957501074743296;1651905975849459713;1651720540707774466;1651720109877248000,2.0,117.0,7459.0,2019-07-03T22:39:38.000Z,False,🇰🇷🇨🇦 He/him,
24524761,michelle savaria 🇺🇦🌻☮️ 🇺🇸🐶,msav6038,0.0,92.0,8.0,0.0,1652486941529759745;1650591707702894610;1652733126156881920;1652733099745132544;1652452083298172929;1652669339890221057;1652504597901250560;1652653297059209217;1652731794985304065;1652681140191256577;1652731175218323456;1652731164573208576;1652729402957115392;1652730839464026113;1652716737429659648;1652730919462252544;1652730698170597377;1652729034969841664;1652334932620984322;1652729171695501315;1652729549409382400;1652697493908381700;1652728825330171905;1652204510150811650;1652514757939691520;1652726657248026624;1652727451804487685;1652656757213130752;1652497827883282433;1652663584487272450;1652653478970368000;1652662757798428674;1652662533692456963;1652396682129166339;1652649829216972802;1652653705341071360;1652661690364829698;1652449528228769793;1652659335468556290;1652659338404667396;1652389704585695236;1652659134800572416;1652659072817147906;1652659063224688643;1652335234032062466;1652302368480821251;1652644158417272837;1652642589688885248;1652637551864483840;1652622096827129856;1652640827733049345;1651978777491062784;1651997994558926865;1652513983428009985;1652636428608880641;1652625089442234368;1652013323490144259;1652028152690999299;1652633626415071232;1652488030890934273;1652304911999066112;1652304225110740993;1652303972844052485;1652304095586263041;1652290509107281922;1652302618176176131;1652300749936771076;1652076595245400065;1652114631500914689;1645872844709015554;1652128577121406976;1652300464464216065;1652300219394977792;1651701567081291776;1652039617355427840;1652263502524870658;1651998415629484034;1652299084512784384;1652298573558558720;1652297946023731200;1652297859897671683;1652290423082168320;1652297632952332291;1652297023662505987;1652102962808868865;1652295991008141312;1651239065876873217;1652296713439268864;1652290627579592704;1652296075498213380;1652296786847956993;1652296813330722819,3165567739;1390558489915842567;25465356;19638751;1640929196;142849190;4327127414;1502998333119504384;926164634570067968;32313637;4541535439;4541535439;4541535439;1004085488859385863;1629525297161818112;4327127414;1424639970;55060090;1600611317450153991;19638751;1424639970;1417545370272423937;21059255;739844197935644672;739844197935644672;3003886063;288363743;467823431;63013144;278124059;1243560408025198593;1231514832479948802;74508260;767788995962998784;27493883;288363743;1231514832479948802;270132611;841489249157468161;841489249157468161;886398296146706432;586291040;32871086;786309892990574592;1184962155122216960;74508260;21059255;1298372735383605249;20508720;187796215;1231514832479948802;1231514832479948802;1231514832479948802;819994707061248001;55060090;285676185;1231514832479948802;1231514832479948802;1231514832479948802;18128717;28785486;786309892990574592;1243560408025198593;1488026569;967027984426242053;17027632;20508720;14437914;767788995962998784;14955908;1268223690480615424;55060090;27493883;897466731551219717;1298372735383605249;20508720;1009577803304656896;15115280;15220768;55060090;1298372735383605249;946199776412033025;14298769;1237516842303991808;7768402;1504826267362742279;1231514832479948802;1504826267362742279;49217025;1504826267362742279;1488026569;1231514832479948802,812361923304034304;1004085488859385863;1004085488859385863;1130021685351079938;1424639970;1130021685351079938;529540495;14613723,,1652740419405357057;1652740157190156291;1652739699067215873;1652739420959784961;1652739355683827715;1652738977940623361;1652738801230331909;1652738515992555520;1652738316528230400;1652738227738951681;1652738064119111684;1652737858862559233;1652737840810278913;1652737819893198848;1652737617463484420;1652737424626266113;1652737397585596418;1652737227007426561;1652737115103305730;1652736870554411010;1652736530782334976;1652736456132108288;1652736245406081024;1652736193920901122;1652736141752188929;1652736119140646912;1652736050010128388;1652735915826053127;1652735336877785094;1652735135689613317;1652734998728810496;1652734596742619142;1652734521375182850;1652734362478051337;1652734214154907650;1652733976203722759;1652733854560428032;1652733774247895041;1652733732191608832;1652733545649979395;1652733302883614721;1652733229357465603;1652733173069914113;1652732707867172865;1652732212113014789;1652668800112664580;1652668780789526530;1652668703278788611;1652668506809270277;1652668194111332352;1652668041946120197;1652667508707545089;1652667080456404996;1652666970720858115;1652666517018800129;1652666181269037056;1652666137321062401;1652665763696726017;1652665008755449856;1652664580789641217;1652664547952545795;1652664424522448900;1652664173862563843;1652664091452776451;1652663917942808576;1652652732065382413;1652652353487503361;1652651581488209921;1652651461124161536;1652651377175191553;1652651170593218561;1652650984013721606;1652650549525852160;1652650352481632256;1652650170029318144;1652650121362907137;1652650056514674688;1652650038647046145;1652649761428652033;1652649635469484033;1652649552682397697;1652649296041332736;1652649100989411329;1652649013584306177;1652648839432601600;1652648686281715713;1652648551007043588;1652648069891084289;1652647935186812932;1652647811375144961;1652647656169021441;1652647444964945920;1652647300705972226;1652646919561150464;1652646825424191488;1652646720176570369;1652646634134687744;1652646514420854787;1652646461262254080;1652646342513098756,141.0,380.0,176261.0,2009-03-15T13:43:59.000Z,False,,
512966590,Lysis,AlbusLynx,0.0,48.0,0.0,0.0,1652299037452771329;1652627814430982150;1652545976438243329;1651515158697590785;1651860340055916544;1651945680351502337;1652278939778265089;1652424001040560134;1652510538847641600;1652241363235139584;1651929250327322624;1651948385388175360;1651789674426535938;1651938035338969088;1651848269553713152;1651640311456702473;1651921864216793088;1651839905599836162;1651757119249723393;1651639599511347222;1651920640566280193;1651628438833250304;1651647302480609280;1651878483134431232;1651814932541759489;1651587599608291330;1651839619573399555;1651547732262244355;1652210894170992640;1652308781416497152;1651925370839633926;1652282296030855168;1651862990843527169;1651962369629642753;1651485763043749888;1651548925021630466;1651579944869191681;1651952616786612224;1651469819131166720;1651517012437344257;1651602094338580486;1651597913900961794;1651575611725365249;1651835632610672640;1651522454479568896;1651879373039980546;1651826716245991427;1651581319833608192,18949452;1171989673;917683048782503937;14704278;2220737494;14704278;14704278;702235316812275712;3004840675;3311286493;1171989673;22481472;917683048782503937;370872655;817314251996069893;1167032892427575296;47740807;537175623;43061739;732964902273306624;248334742;1967275506;1082656972959293454;982294921;481489755;783749169399762944;3311286493;341182645;17676510;1524407286910930944;2205630055;996923362386546694;917683048782503937;1304716856;1304716856;17676510;17676510;17676510;27892256;398042440;39403756;39403756;258409805;296321911;455696231;404365807;765430697041461249;1449880381,,,1652739673041649665;1652739476546830338;1652671221383720960;1652646776736735237;1652646551137689603;1652646316860747776;1652646031308275712;1652640554604167168;1652640453580210177;1652640324093616131;1652640250605256705;1652639901165256705;1652639831640375298;1652639646818398210;1652639462466232320;1652639297395122176;1652639083682840583;1652639045585977345;1652638918309814272;1652638602034020352;1652638467170398210;1652638293585014788;1652638227856064513;1652637933961195520;1652637619388309504;1652637358368382977;1652636968474275845;1652636785011306496;1652634783027978240;1652375413228797955;1652375319268007943;1652375236996747266;1652207600237199361;1652031562349682693;1652031205720588292;1651978894369599494;1651978487043858432;1651978316105089025;1651977164793819138;1651977072196177921;1651976918093246467;1651976835935117313;1651976753256988674;1651976533446197254;1651976143082332163;1651976047678697472;1651842468210438145;1651839635507560448,849.0,4964.0,58037.0,2012-03-03T09:03:14.000Z,False,"Apollinisch-dionysisch. “Quand le passé n'éclaire plus l'avenir, l'esprit marche dans les ténèbres”, Alexis de Tocqueville. Like/Share/RT ≠ Endorsement",
8743302,Poutinho,rhh,2.0,84.0,2.0,12.0,1652685849958707200;1652634252540801024;1652176946850144256;1652459660945895430;1652117749265571846;1652736344265838595;1652719465279426562;1652747684447436800;1652727138494062593;1652717838539403266;1652720116998520835;1651957594985046019;1652446286891864064;1652540500677894145;1652685803414224897;1652701590640381952;1652685837723742208;1652700010717278210;1652475620079591427;1652331056614236161;1652431033357221889;1652494421647056896;1652590407946055680;1652624845128056832;1652632083787927554;1652574223976546308;1652617710755299328;1652368020059168774;1652330619995660289;1652324701098713089;1652324059240079361;1652387945515450368;1652486748717367296;1652608104519876608;1652301463899590657;1652357434776645634;1652419700033478656;1652381871651553283;1652412359259090944;1652406540400308225;1651952557869133824;1652017711898058753;1652514757939691520;1652528608588562433;1652322581205139457;1652465441313538048;1652490061664092163;1652582878130192384;1652504597901250560;1652502209127489536;1652411585975943174;1652444100245831680;1652350183303417856;1652470129207267328;1651966786345091072;1652501288083509250;1652497580398624768;1652354293603926017;1652290917242396673;1652428638476722179;1652409239028264960;1652375265123680257;1652436832905314304;1652391738277867521;1652500461029654528;1652496136555331590;1652484178049662976;1652436316062089216;1652051281207259137;1652460586213732353;1652376571548782595;1652465442894610432;1652317181177212929;1652437646185037831;1652283410788884480;1652416019728674821;1652359895172415489;1652340935856889856;1652296043730444295;1652049224660561920;1652293155230760960;1652220016903766017;1652251094901223424;1651975885384212480,493526610;191915993;1068476821;42546969;1286312880;1483388011371016195;2778999600;241226103;23745072;84083187;86002394;286998245;194439261;834825983010107392;15907183;424083365;208665872;1222773302441148416;4018888580;1180533698;61509014;1433805160208338945;274002405;1222773302441148416;17939037;612785170;1222773302441148416;15907183;1154105453317677056;325385270;325385270;325385270;34792486;1516486089724342285;3154147845;927818520;738779772;1559139853547278337;1351969053045268480;46403451;798518975164518400;1552448954;739844197935644672;86002394;2977031254;617619927;41927465;1707427058;4327127414;1363904791236206603;917815638;308062165;758701597107032065;855481986290524160;109604455;16635277;22129280;281877818;151257881;1073047860260814848;246939630;824325992827252736;379209090;236155643;1115148079;25375962;246939630;1222773302441148416;1193312818688335872;2339733614;409389074;150078976;23398730;1504452961602265089;1298372735383605249;233001368;246939630;838912397066846208;2199541;22737278;32313637;2435244853;1516486089724342285;450738176,2229178992;1314598333869035521,855481986290524160;86002394;2840754385;308062165;4018888580;288277167;246939630;247114704;85583894;2195241;23398730;17385685,1652775299786915841;1652775096367366144;1652761855620796416;1652761495086743553;1652761398273875971;1652760344874418176;1652757247397642243;1652754516482088961;1652753813609086978;1652748909884612610;1652748728141246464;1652723052524851200;1652722666346881025;1652718657913470978;1652718579517669379;1652717166502858755;1652716927435898882;1652715454094245890;1652712381070360579;1652711885882392577;1652711605090627587;1652711233001336832;1652702891507871750;1652701788045189121;1652701670390865920;1652644105892012033;1652643202405482496;1652642031204814848;1652640675559505921;1652639603801595904;1652639573455847425;1652638962727387136;1652638099736780802;1652617878338695169;1652614986798100483;1652613900691554304;1652613860828884993;1652612523969982464;1652612217202778114;1652610007530196993;1652609582357790720;1652609021579350016;1652608384145694723;1652607542533447680;1652607188358004737;1652607147815911425;1652604458432331776;1652604100750475264;1652603672591777794;1652603507822698497;1652603104238379009;1652602911787040768;1652602867260219394;1652602758514581506;1652602601848856577;1652602491014459393;1652602241264627713;1652601848027660289;1652601691785826305;1652599560785592320;1652598938350899200;1652511926079963136;1652511753475960832;1652510917471371265;1652510689255215104;1652510015746342915;1652509587382104065;1652509219868770305;1652509175971295233;1652508433604550657;1652507578264440832;1652507450807861251;1652507277893533699;1652507153985417216;1652506876456628224;1652506683342462979;1652506540245385219;1652496030401806336;1652495839506440193;1652495288370700294;1652495151758028800;1652489542610329602;1652487251165585410;1652486605892886530;1652486409389764608;1652486316439773184;1652486106665869312;1652485903393202176;1652485519928958976;1652485423963295745;1652485180022554625;1652485031405797376;1652484551044739072;1652347477801009153;1652319259853217793;1652296075011653636;1652296019936260096;1652286013945815040;1652285934707122176;1652284680501174272,4341.0,2370.0,39931.0,2007-09-08T10:41:57.000Z,False,"founder of Hyndman | Law, co-founder of mesh, co-founder of #HoHoTo. Instagram @rhyndman. Joined September 2007.","Toronto, Ontario"
4476020061,MOHAMED ALIE JALLOH,mohamedaliejal7,0.0,6.0,0.0,0.0,1651868078123122691;1651978228846964738;1651666084368470017;1651575899458772993;1651527786257940481;1651805190666739719,69059617;2455740283;129009730;2237865246;185392581;247653244,,,1652063630286811138;1652061468462837761;1651826050475630592;1651824973936316417;1651823175787790338;1651819708281126912,169.0,439.0,15057.0,2015-12-14T01:30:52.000Z,False,"LOVEING AS ALL WAYS❤💖
Being Gentle Every day😊👍",sierra leone
1410388787612446721,Roman,SHodl9000,0.0,9.0,1.0,0.0,1652363040308830211;1652339968159670272;1652474243874168834;1651999166485110786;1652034302430052352;1652008133659877376;1651928330264821761;1652139161980379137;1651933620666245121,573239329;56562803;68537333;905495988982427648;1590499141192323072;1151913018936053760;1483252297996156934;14560463;450235955,14560463,,1652736010160340993;1652734554271289345;1652486743986425856;1652188660442464258;1652188059444875264;1652187478303076354;1652187055185862657;1652185993502687234;1652185878054453248;1652185129014665217,436.0,195.0,13189.0,2021-07-01T00:04:37.000Z,True,"iSin(2πFt)
Kenny G. (mayo boi) we coming for you. We won't stop until we see you pick up the soap in jail.",MOASS INYO AS
2673185698,Social Distance Ninja,Buckysmiles,0.0,98.0,2.0,0.0,1652651280517693442;1652607505103462400;1652680234708213760;1652403029176463362;1652518647825350659;1652583633008328704;1652651103517831169;1652539241782558720;1652680309094375424;1652581025971568640;1652681713712238593;1652565686739165184;1652602294414835712;1652601065563365376;1652541266159194115;1652539979837632513;1652428139383992324;1652340176751034368;1652451481088344064;1651067118450819074;1652514571905646593;1652502823999766530;1652478195466391554;1652607960202498048;1652456070034464769;1652359303305592833;1652386334542032896;1652320286505676804;1652305321573113858;1652304872140619777;1652124638032326656;1652124635436142592;1652124632609169410;1652182686390263808;1652416986750525441;1652420804624408576;1652297023662505987;1652311103181824002;1652465849075388416;1652293245504823297;1652475933247561728;1652379650423758849;1652439684671217666;1652165604797808640;1652477628966752256;1652282598218158080;1652353070414561280;1652301014861508609;1652459468377018370;1652397575897481217;1652321379532898306;1652457533385109505;1652438507787354115;1652196109173833730;1652205756786135041;1652205136213622784;1652365514306461706;1652209312444325889;1652261457030004737;1652199496384921601;1649499967306846208;1652438263569973249;1652413944294670337;1652176057838215168;1648725319623245829;1652205722334265345;1652355008099151874;1652405401919397888;1652371092152156161;1652178858114727936;1652345723437068296;1652176727307632641;1652430469189754884;1652397598588776448;1652452404074369025;1652371259072606212;1652444572314656768;1652318283318665217;1652384025669955586;1652338050775633921;1652404436017266689;1652222960504012800;1652299213810675716;1652325341308805121;1652201990682824704;1652415286421897224;1652382581785067522;1652373727315652611;1652434855366410242;1652323848086224898;1652225344500387841;1652397387967606784;1652440872309465090;1652216348292915200;1652332774026629121;1652317800529121280;1652376237908676611;1652354907414855680,1622460778178809857;1627800032249360386;1085340931295989762;1285685728152821762;957800156602257409;3872260900;1257441074290855937;1334670567685959683;20806889;3872260900;710837217724391425;3872260900;1627800032249360386;1627800032249360386;1507896832151728135;1622460778178809857;1446179637516816388;787412827594043392;2614565548;2345699072;2345699072;2345699072;1648434786099396609;1376790883681533954;1358249357020119044;247064977;1585810461291053058;77852581;1329111833760981001;1329111833760981001;1329111833760981001;1329111833760981001;1329111833760981001;1624836584947195906;1582786603050848256;829918169737277440;1237516842303991808;808806102;2175000350;3001391711;2194820929;1279915558604091392;846923375209594880;1350524761663791104;3872260900;1622460778178809857;1225254772833505280;500283182;250166431;1325632967302131712;1624836584947195906;1257441074290855937;1484697277423775745;1583570856978141201;1638555578774732800;1583570856978141201;1145073654298030085;1583570856978141201;459489950;586032653;94004205;2421059113;1585810461291053058;829918169737277440;1312260838879887360;1506502426395742208;1020413237991477254;4825827380;48922016;1399168959551885312;44684337;837730183037784064;1489632913662615559;1079441135087570947;1325632967302131712;1033862167488028673;1546998567465795585;1506627499937181705;1325632967302131712;1549677836;1475569624326492166;1583570856978141201;394216985;1583570856978141201;1583570856978141201;829918169737277440;1325632967302131712;1583570856978141201;1085340931295989762;1433498470074228740;189924553;1218272155592466433;17228672;892498640299851781;1276894683545907200;73206956;1202232697298530304;1624836584947195906,1627800032249360386;1624836584947195906,,1652683276270567426;1652683176865611776;1652683066391908352;1652683039665803266;1652682989958987779;1652682954936549376;1652682901350236160;1652682862016057346;1652682833394118657;1652682772656316417;1652682746664198147;1652682718759600133;1652682569773719552;1652682374390464512;1652682237895233536;1652682200607752192;1652682178990407682;1652682155653226498;1652682147486920708;1652682115060776967;1652682059863711746;1652681891416293376;1652681854615449604;1652681606623121409;1652681531230507009;1652487253396996096;1652487100762038272;1652487006247583745;1652486936622137344;1652486789414674432;1652486722234531842;1652486626814181376;1652486531603365888;1652486492663566336;1652486243463176194;1652486180104019972;1652485837311864832;1652485718168535041;1652485698119782400;1652485530460798978;1652485509170511873;1652485452824281088;1652485334846918662;1652485257243901952;1652485205502963714;1652485188679598080;1652485081888440322;1652485035436457985;1652485011675783169;1652484923163279360;1652484795899707392;1652484756645335043;1652484223058550784;1652481815389650944;1652481750486904832;1652462645650374657;1652462606370701312;1652462584639963138;1652462480931581953;1652462013753221120;1652461997294755843;1652461956228325376;1652461801659826177;1652461661683417089;1652461580481593344;1652461398486548481;1652461155783266304;1652460163519922177;1652460114790555648;1652460002857156614;1652459958456205315;1652459929754652672;1652459664280264705;1652459594294206465;1652459277569728512;1652459138289475585;1652459070337548292;1652459032311996417;1652458970643046401;1652458268822843397;1652458202670268416;1652458177219231747;1652458040090677249;1652458014715138049;1652458000035074049;1652457913300942848;1652457880660983809;1652457856745058304;1652457826327969793;1652457115062095872;1652457086696005632;1652456955087142913;1652456933717164032;1652456856621572097;1652456779966447618;1652456750304329731;1652456686672654338;1652456415569539075;1652456154864271363;1652456085045796867,1976.0,4998.0,433894.0,2014-07-04T20:36:26.000Z,False,"Law and Order CI, Marvel fan, Vincent D'Onofrio, Chris Evans, Sebastian Stan, Robert Downey Jr., Mark Ruffalo, Clark Gregg, Anthony Mackie, Stan Lee","Brooklyn,  NY"
541529471,#HOUSE_GOP_IS_A_CRIMINAL_GANG,Memorablelabia,0.0,13.0,13.0,4.0,1510619498189000709;1651964632091983877;1651946684698730497;1651719398716047361;1651718011294818304;1651827147105861632;1651793658386190338;1651429757769199616;1651790394269614082;1651774336561471489;1651768382059089920;1651544642637422592;1651789026503045120,541529471;1342558664184406016;603867006;1479179415338819591;1479179415338819591;1499110773968281609;541529471;2198499445;801100959652970496;1089280833058291713;842029626608123904;541529471;603867006,1605402995193257987;1586216424543899649;1442254839845515268;1442254839845515268;541529471;541529471;603867006;603867006;961113187453165569;1499110773968281609;1289991425036345346;1094713876132872192;1640929196,541529471;541529471;541529471;541529471,1652379174148136960;1652378760036122625;1652070502910029826;1652070187590651905;1651969858568073219;1651968647773179905;1651967975870840835;1651967275199766529;1651966374766612482;1651952307997921280;1651952073494372355;1651868966200156161;1651865191808921601;1651865110783340545;1651865018110218246;1651864287567290373;1651864179610124289;1651793658386190338;1651792737992310786;1651792570169823239;1651792042379603969;1651791934527246339;1651791867732963330;1651791837487853568;1651790649665126402;1651790474615857152;1651790182889439232;1651789776650117120;1651789582781018112;1651789262600441856,2648.0,5001.0,115876.0,2012-03-31T10:05:18.000Z,True,🌊 #PutinHasEpsteinTrumpStatRapeTapes - Original #YIPPIE/SDS/WU. AntiFa for 50 yrs. In #TheResistance from Day 1. HF Aspie w/SS - Google: “Jondalf Thrasher” 🌊,"Bumphuq, AridZona "
2358170251,Erinescence🇺🇦,Erinescence,8.0,55.0,1.0,3.0,1652773256896688131;1652720333084827653;1652698661829361666;1652692542004109313;1652641251962032129;1652584069652160513;1652395543274946561;1652443995942064130;1652399353980387330;1652289594497409024;1652270924874371074;1652291003032764417;1652276299224711169;1652066979224616961;1652069066549362688;1652050113320165379;1651978372824674304;1652033970773823490;1652015577358303232;1652016422862868480;1652029158933790721;1652004096382054401;1652000714342948864;1651997977563607054;1651965628989730818;1651996950345154562;1651997285293907968;1651960773151784961;1651972734673465344;1651990136022786049;1651991852487258112;1651987154061361152;1651937793357107201;1651983645526093826;1651983903958224896;1651981042025152512;1651976914624561153;1651942832553226240;1651940085602844674;1651940585102807041;1651941066227023872;1651767352143544322;1651933926569517056;1651933769593495554;1651934032756613123;1651917845180162050;1651919311286542338;1651722719329746944;1651876526915301379;1651880015829532673;1651733113779757057;1651664919534747648;1651701272549150720;1651694344208896002;1651632539025514499,424274065;338608917;130496027;28785486;607867793;19429176;20406724;17060020;14348157;24889586;46917724;3579621921;1507338108;115554440;15537302;3333055535;139362186;43412697;1113087343;1113087343;20234637;22891564;1068564102757285888;877981025921638401;22162854;2479008908;47034524;51241574;841489249157468161;15537302;26559241;36889519;3166870696;88215673;74820061;299273962;16760131;338608917;426802833;12879822;22187085;1265351512429154304;19785310;16840574;15836556;980052164893650944;68611923;259395895;30261067;11621822;14089195;69373202;17060020;7768402;3005897708,16124187,1171109054;130557513;3579621921,1652779515851026432;1652765695120232453;1652712624553877504;1652709481552179200;1652694322528112641;1652652364866678789;1652602261007224834;1652598051662331904;1652595967986655242;1652457254178766849;1652425310925737987;1652322832980885505;1652293305554665473;1652293120606781440;1652291915012767746;1652280807149514752;1652277413030535169;1652155396272840704;1652096260709425152;1652072115170861057;1652051002432864256;1652039766685147141;1652034240542810125;1652033292449751055;1652033281158791168;1652031287538905089;1652030667452981255;1652004309637185548;1652004252720480270;1651998797407440897;1651998594994515986;1651998030587998230;1651997414675427357;1651996423523643393;1651994054958231567;1651993905372573699;1651992568446562305;1651992431515119622;1651986593710845977;1651984304187101186;1651984152265207815;1651982496941129731;1651981627067625476;1651981176049922048;1651979314080931846;1651943918794162178;1651943600572211201;1651942075783421952;1651941288349147136;1651939969173258244;1651938408510418945;1651938196534575105;1651935416365338627;1651935210508828672;1651924845570011136;1651921716904435724;1651921584792170498;1651886836753506304;1651882267755642883;1651882016676233216;1651734321890222082;1651718040671735811;1651709774407569408;1651702209682259973;1651701033326837760;1651700456530345984;1651694540225409029,1147.0,1354.0,154734.0,2014-02-23T15:52:58.000Z,False,"Dogs, politics and good TV",
