id,name,username,numberOfOriginalTweets,numberOfRetweets,numberOfReplies,numberOfQuotes,retweet_ids,retweet_users,reply_users,quote_users,tweets_id,numberOfFollowers,numberOfFollowing,numberOfTweets,created_at,verified,description,location
126943410,유재명 / Jae Myung Yu,lemon2sang,5.0,94.0,1.0,0.0,1617121030103003137;1617544394059485188;1616676068198600705;1621365756674936832;1621056415178571779;1618129315732029443;1621602173179002881;1619042606016610315;1628447686381764610;1655129739688919044;1654956980350472192;1654960132621582339;1654962370999926784;1654961884926296064;1655132398328184832;1654965607618543618;1654964305337409538;1654984026833166337;1655141535288049664;1655103980786032640;1654963518049746945;1655097995384307713;1655159308819001347;1655007425962065923;1655122917892534272;1655110430216318978;1655086471928336384;1655345495986806784;1655108452660785153;1655073437876994049;1655108452807499782;1655091247642443776;1655304102170050560;1655089651680460800;1654988532761391105;1655137094707150848;1655000312149622785;1655152988313333760;1654980360218767366;1655157288863186945;1654949551906889728;1655112880608485377;1655106009604423680;1654937919520374785;1654953976570281986;1655135591799848960;1654951135537446922;1654857473747193856;1654987634148769792;1655012733895704577;1655068997824675841;1654992094619136001;1655055615377690624;1654674981039771649;1652627455621103622;1622929439670816769;1652247308384481281;1647755009709477889;1652330685472862210;1647763217102569472;1649215477934342144;1623258779730034688;1655033395607670785;1654801897902178304;1655162676719542273;1654489720129310724;1623465595521085441;1654837978714484736;1654807901318557700;1654834421563019265;1623315596082569220;1623227178933714945;1623248423389655041;1623199977764962304;1622883704686415872;1622896858661285894;1622781853903253506;1653201582958465025;1618418914144448512;1651390962571313152;1651540756291792896;1622891623763030017;1654971695067811840;1653954410022838273;1623031463611334656;1623084328141066241;1623281191288700931;1623389500394344448;1654516666544402435;1654573167615115264;1652447799580192768;1654829698600271874;1623463157116051456;1623366718373433352,1133300172929286144;407013986;1047868554;1047868554;1047868554;1047868554;914926030657327107;1201919374757711872;1295976314244157440;34568945;34568945;942494383;942494383;942494383;942494383;120826483;542800037;542800037;59220775;43298395;18102125;112689928;164706047;257372821;131258232;976015139240587264;1031577795024093184;34748247;583976040;1580262343321088001;4137146662;393384796;27072238;1079100508361629696;3075845932;1413528438;424394419;20566501;1492231770;3341184994;65432054;111688423;111688423;210937221;116212035;22133334;22133334;4900261711;4900261711;856478652153843717;1428053999702347778;1588662212;461038444;1375019878780792834;244918310;1227681025804750848;147451838;130690091;166094321;1412299685952294913;1114621783;2948790415;470264629;14962512;879865968343654400;1352618916221046785;1086985123562549248;1086985123562549248;1086985123562549248;1086985123562549248;410682661;410682661;410682661;1543219842689290241;835932179188207616;835932179188207616;1326495970301931520;886104274605752322;886104274605752322;886104274605752322;1465196365819301889;1306828661337718784;957878576740671489;1534097376939765760;1366565625401909249;1069702634960052224;21561233;19721574;3005014565;742735530287304704;1225557966142820354;341746855;1387497871751196672;970994516357472257,126943410,,1655559745703645186;1655528967145947136;1655528909059014656;1655528354928529408;1655528336326795265;1655528314717753345;1655528285407936513;1655528262557368320;1655528174359552002;1655528152091992065;1655528133498658820;1655528115660279810;1655467432730042370;1655467185211596800;1655466315023548416;1655457599683457030;1655457586588827649;1655457568435867649;1655457549452460032;1655457533388283904;1655457517651238912;1655457499770920965;1655457480573616128;1655457464488464384;1655457403293548544;1655457366425636867;1655457324335771650;1655457291305623553;1655457260095799296;1655457214088499200;1655457105485365249;1655457018365497344;1655456980092481537;1655456907581349891;1655456858260537344;1655456825100357633;1655456759593717761;1655456712172912646;1655456654845165568;1655456607881564160;1655456569545596932;1655456527824875521;1655456477711089665;1655456445360652288;1655456405489606656;1655456373080227841;1655456330529001473;1655456257283870720;1655456219090550785;1655456183438962688;1655456151314780160;1655456064752726017;1655456029860302848;1655456006913286144;1655455968438931456;1655455924868481026;1655455858187444225;1655455766739062786;1655454886140743682;1655454862447087617;1655454844789075968;1655454827877658624;1655454811930923008;1655454792255438848;1655454768528265216;1655454747523158016;1655454724710342656;1655454707845058561;1655454693026566150;1655454675808944128;1655454659878998017;1655454643206656000;1655454625590562816;1655454609958404096;1655454593613180928;1655454571857342464;1655454552844558336;1655454535949893632;1655454507827105792;1655454479473573888;1655454451078172673;1655454427778785282;1655454397500121088;1655454360753811456;1655454333755076608;1655454308484403202;1655454279313031170;1655454252498829312;1655454234459144192;1655454208395743232;1655452743568613376;1655452704477679616;1655452686668668928;1655452653835661314;1655452633245835264;1655452568863256576;1655452549527523330;1655452531907268608;1655452513200652288;1655452494976413698,1456.0,5001.0,98472.0,2010-03-27T14:18:35.000Z,False,"https://t.co/3MObHwhrrq

#npub18shtpf6xw3d0h9nl870eq5pqqqt6pkm9g77jyzzuxsscp8w6q34sdu7rce","Seoul, Korea"
1146549086872408069,Johnny 6502,JonySixFive,0.0,21.0,1.0,0.0,1655260281902342145;1655465102458462217;1655559469005422592;1655521213827915780;1655455848846565377;1655304872554639364;1655274946212290562;1655274849999175681;1655280169408446464;1655247182000267264;1655197901780402180;1654996954437369859;1654876890954600448;1654672128115896321;1654177414501498888;1654857616424665088;1654819886621761538;1654819508438155266;1654779210425139201;1654766784325582849;1654492138007146499,124626398;1120633726478823425;17004618;28838219;198584761;985749294;471677441;911992078909001728;985749294;985749294;1694362759;194439261;5880462;3698187494;290758912;4848301;1147520113383530496;4848301;350907112;21202851;154016912,4071981,,1655608826631172097;1655567667158487040;1655559910669848579;1655557759952384000;1655555184326758400;1655401386060963841;1655345257486368769;1655344809379495936;1655342544711217152;1655341664272285696;1655249441480384513;1655244909560078337;1655010907255341056;1654994906954477569;1654993241786421251;1654989261165432833;1654879834684923904;1654879020348219397;1654877399513989121;1654876486418198529;1654875388152262656;1654621187463589888,2.0,117.0,7565.0,2019-07-03T22:39:38.000Z,False,🇰🇷🇨🇦 He/him,
24524761,michelle savaria 🇺🇦🌻☮️ 🇺🇸🐶,msav6038,0.0,90.0,10.0,0.0,1654640442045022209;1654653824504672256;1654663454727208966;1654663112325251072;1655655567715606539;1655236295180918785;1655655853855219722;1488322846954704897;1655618943967539200;1655656339186524171;1655656563648999424;1655657109533368323;1479899041647394816;1655198614694535168;1655500413443948546;1655073130120093697;1655571245566500868;1655571143300984832;1655253657213108225;1655570954628526080;1655570948752388097;1655570761430577153;1655364128469393408;1655561634713071616;1655570689540120576;1655570172491726848;1654599403003428864;1654497743644114945;1654497739399462912;1654497728922021893;1655543606051065856;1655540443566817281;1655541604667514885;1655275836323545088;1655569742395047936;1655277463658983424;1654939278731022336;1654939268723392512;1654939266374598656;1655339326849568769;1655394455199809537;1655396834183872513;1655287643985555456;1655337545163571200;1655565858624663554;1655532274677342209;1655553995316899841;1655279104692764672;1655155703835705345;1529426303832576001;1655550652435648513;1655550618118029313;1655521071393562625;1655305689886085123;1655550085139136512;1655273946634231811;1655277892379475969;1653848410414366721;1655332800197804032;1655217668063109121;1655253494733983744;1655484951133921286;1655010033623605250;1655164908395192320;1655540074073686018;1655547036018651139;1655407299505135616;1655293471899504640;1655296082958589953;1655245550806003713;1655278252951207936;1655391403487158272;1655402193048961033;1655546257581002753;1654330209414381569;1655537997759107074;1655544959645233153;1655521066301677568;1638614548469915649;1655543536220086272;1654569400815476736;1655298262302175237;1655543819339743233;1655543095486816256;1655543588292272129;1655543078005116930;1655345299949330434;1655356026705661954;1654513821438861313;1654934306119139330,23578274;824209432431259648;4500218114;4500218114;1009577803304656896;18812572;819994707061248001;4541535439;27493883;1205226529455632385;74508260;15115280;4541535439;784890784273215488;364488011;1108297656550318080;818893114979061761;55060090;1108297656550318080;19638751;886398296146706432;55060090;74508260;24752038;288363743;1167326149065621504;1231531307240390658;1108297656550318080;1108297656550318080;1108297656550318080;877981025921638401;892149131464118273;927818520;1108297656550318080;15115280;1108297656550318080;1108297656550318080;1108297656550318080;1108297656550318080;1108297656550318080;1286161147;767788995962998784;1108297656550318080;2979885988;767788995962998784;1470793471585886215;1243560408025198593;346781925;4091551984;248917209;841489249157468161;1640929196;3129968261;174751002;818893114979061761;1231514832479948802;1534669704639524864;288277167;191227452;246939630;17824099;821901681231298560;97106823;138168339;834078524277456897;548384458;1205226529455632385;819994707061248001;819994707061248001;819994707061248001;819994707061248001;819994707061248001;4269393803;270132611;1523997623392296961;19638751;25598396;942156122;1231514832479948802;745301594028318720;14247236;2289770467;1237516842303991808;130617778;130617778;1231514832479948802;74508260;270132611;713839291210792960;713839291210792960,55060090;1108297656550318080;1108297656550318080;1038241060516900864;1108297656550318080;1108297656550318080;1108297656550318080;2979885988;834078524277456897;130617778,,1655660560388595714;1655660525722689543;1655660205487562761;1655660152974876695;1655659224620212229;1655659199244775424;1655659051852656640;1655658995632295936;1655658716228644864;1655658612507680770;1655658584393261066;1655658428520431617;1655658379056914440;1655656000454533138;1655655960910635021;1655655855792988165;1655655784233967628;1655655686980661249;1655655639610171407;1655655584622845960;1655655521804754952;1655655441806794755;1655655385850675200;1655655252559798291;1655655158875824133;1655654763613106176;1655654736891093014;1655638095868354573;1655638049278111744;1655638028864348165;1655638006647209986;1655637953509457920;1655637909255381007;1655637853102125058;1655637789029941248;1655637729168830464;1655637682930737160;1655637546993344518;1655637528190365699;1655637482598219777;1655637441871503364;1655637402730352642;1655637357238837258;1655637323864760331;1655637271977025555;1655635277128376320;1655635235051130880;1655635194299179023;1655635015814766592;1655634999700250640;1655634918767046656;1655634891566882818;1655634689946791942;1655634440532393984;1655598268749848576;1655597556083089408;1655597237399957506;1655597198598365185;1655597109658173448;1655597041911832579;1655596840010629127;1655596779482619906;1655596650658668546;1655596597642776579;1655596581435981825;1655596493519089668;1655596457448153096;1655596317018660867;1655596219840724994;1655596051150012417;1655595890831237123;1655595836674383874;1655595751127351297;1655595720034992128;1655595575864172545;1655595530615963648;1655595512727306243;1655595492942782467;1655595447111524353;1655595375187689472;1655595298905890816;1655595152528883713;1655595056160550915;1655594894608457733;1655594792858841088;1655594630077984768;1655594608879960066;1655594517221847047;1655594424020217860;1655594369691336705;1655594287659200512;1655594110479114244;1655594000919805954;1655593948348309504;1655593927347453953;1655593755448078336;1655593722095042560;1655593559213342720;1655593453365936129;1655593338416816131,161.0,382.0,177304.0,2009-03-15T13:43:59.000Z,False,,
512966590,Lysis,AlbusLynx,0.0,64.0,0.0,0.0,1655457502610202624;1655119290176028672;1655223550842744833;1655251579723821062;1655248627806224385;1655233023435227136;1512695363387465731;1521018802187784192;1583104222379528192;1655209267941482501;1654927975995850754;1655194610543517696;1655205610667794432;1655091304005500930;1655192742849396739;1655146168681365504;1655075094056648705;1654966626867900417;1654442363681374211;1641460028082200576;1654881090585124865;1654863595220639744;1654811925732098058;1654842549129863172;1654816397925515265;1654800877830406147;1654422230921617410;1654392019685441536;1654402414953263104;1654871216707207168;1655116846821982208;1654957423696703489;1655105346078162945;1655048558104702977;1654830748833140736;1654794447584886784;1654659084057026562;1655109797048471554;1655108456871755776;1655025189917442049;1654746564840046592;1654733645310046208;1654887898481844225;1654728743108083713;1654666832782188547;1654490128851644426;1654553057135583232;1654482555423301632;1654471008277889028;1654438616339214336;1654413284122980352;1654417399217811456;1654399531432435713;1654383173562671106;1654366815886381057;1654069538630115331;1654134355436920839;1654081939001978880;1651521575953346560;1653931943937953796;1653743870453116930;1654042105969344512;1654032242534916098;1653889672647708672,1652541;1326389646;1201529055557947393;20583993;3311286493;3311286493;2563372862;3033091043;3445411935;3311286493;780460754910732288;84284298;2306281964;1123847711835471875;1326389646;1449880381;731746399746961408;795950214951669760;14704278;30331417;82489321;3311286493;996923362386546694;398271367;3311286493;1478819536304590862;1314239923050946562;487752122;1163360090344296448;1449880381;748397949441441792;855481986290524160;263858624;17525171;1510304603946221577;3647893290;1510304603946221577;111349115;111349115;1201266034788970497;1236011601611952130;1524407286910930944;917683048782503937;765430697041461249;1449880381;318055047;150312043;3311286493;3311286493;1694362759;111349115;3311286493;3311286493;3311286493;3311286493;595174584;3104249044;3311286493;168239299;2563372862;380956211;18160106;3311286493;3311286493,,,1655465823861964800;1655463381304766464;1655462960830054400;1655275422618202114;1655275382994616321;1655275263163346944;1655275174084706304;1655275084007759875;1655273288556331011;1655272977104076800;1655272922951417856;1655272748791349250;1655271571374632969;1655268487684669441;1655267691203112961;1655185901830512642;1655142257144524801;1655142242057613313;1655126290754678791;1655124675322687488;1655124475652853760;1655124065110089728;1655123890123730946;1655123563412611074;1655123283614867456;1655122895222321152;1655121227910881282;1655120633821265921;1655120470889381888;1655120028323262465;1655119733736239104;1655119279841329154;1655119221318115328;1655118992737009664;1655118841377169408;1655118016479125505;1655117419466092545;1655117250108465152;1655116954846240769;1655116773937520644;1655116749660930049;1655065423115608064;1654930277917945859;1654865466173554689;1654729365182136320;1654717526029352962;1654717453505646593;1654716873055805440;1654716568788410369;1654716438731538433;1654716153535627264;1654715902355554305;1654715826006622209;1654715771170242560;1654715522640912384;1654715035317313537;1654714729384886272;1654713590287417345;1654713364369604610;1654712924898820096;1654712911183458304;1654712784616079361;1654712574942773248;1654712548715819008,850.0,4964.0,58158.0,2012-03-03T09:03:14.000Z,False,"Apollinisch-dionysisch. “Quand le passé n'éclaire plus l'avenir, l'esprit marche dans les ténèbres”, Alexis de Tocqueville. Like/Share/RT ≠ Endorsement",
8743302,Poutinho,rhh,2.0,82.0,5.0,11.0,1655598160272580616;1655657688754184195;1655631551554543623;1655635493068091392;1655631447334477829;1655651533973774342;1655329069356154880;1655623658843545600;1655597683434725381;1655608063909588992;1655611324116893697;1655611195099848705;1655615493523357698;1655614812347412483;1655617204791148544;1655618157481013253;1655575935188455425;1655615455581679631;1655593320201228289;1655607214097453056;1655604871435788290;1655599793698160642;1655597979594522624;1655573751646306305;1655543784703242242;1654920416618528774;1655400264239652866;1655433951287328770;1655450817229475847;1655490064061718529;1655388375019565056;1655332371053580288;1655364128469393408;1655383794806046720;1655314750853595141;1655208992103096321;1655379406448218113;1654977072731766790;1655261298454859777;1655254923427344384;1655244058049105922;1655332471880179714;1655330758771236865;1655317466933784577;1655311356705243137;1655236295180918785;1655293349245452289;1655278304071495682;1655292967408619522;1655168763606495233;1655300318572208128;1655258533930192899;1655279203762294786;1655222178520915974;1654907186261409792;1654850744485380099;1655065394174894082;1655038981862481920;1655229008836186112;1655221848513150978;1655225200928075776;1655229788624134144;1655009056871022592;1655199960898457604;1655030412425478147;1655207842180128770;1655017769983950848;1654846632897159172;1654870192080703488;1654982748136787969;1655016375486668801;1655192196356747267;1655018522072735744;1654996740351696896;1655006651999461377;1655069033924898817;1655025985979396099;1654868433488728064;1655048503108997120;1655036567721844737;1655171239999315969;1654967213936508928,1087765282930741248;86002394;1268223690480615424;2195241;235764167;20272521;98077302;42836999;1087380412089987077;22998311;246939630;441134497;86002394;219141142;246939630;402888514;2503681453;47455112;246939630;2963445730;1462548977367359490;4091551984;18686907;15464697;170774815;1107296448;85583894;1129737385837715456;22799257;1462548977367359490;26548315;455624504;74508260;19657809;1462548977367359490;586841695;22185437;314734325;281877818;21675256;983045358099025920;373522445;1268223690480615424;1268223690480615424;22429979;18812572;27493883;1243560408025198593;42518865;84083187;2749315621;235764167;759251;1247612029;1219316331788374016;23295813;74508260;1413628042698797059;941675887;18686907;1298372735383605249;1866938882;40931468;985749294;288277167;13202482;246939630;1095830668574162944;862483279;342863309;775142;492736486;942156122;373522445;1298372735383605249;15327996;2233154425;862483279;246939630;18686907;263473924;94485569,824203689938272257;369307681;13604172;13604172;169649728,2519044628;402888514;219141142;246939630;1462548977367359490;1268223690480615424;15694286;25950355;2492039959;246939630;30766919,1655659094588399616;1655659030872727569;1655658624096632834;1655658441942134784;1655656014266392578;1655655923870736394;1655655502682923026;1655632257229438976;1655631991948148736;1655631955210166284;1655623591302508575;1655623442530545703;1655623092998135810;1655622605297135616;1655622436199575573;1655622199997345823;1655622030853648390;1655621979909632009;1655618185125584896;1655618121007345667;1655617203574648834;1655617043855470594;1655616635112153090;1655616375036030988;1655616014904700928;1655615920922935299;1655615702097707008;1655615656350326785;1655594764316672002;1655594119731847170;1655561817832267778;1655531660668960768;1655530262581723139;1655530079357739011;1655529479115087872;1655527419967594496;1655392478978097152;1655392306126544901;1655392050072764416;1655391817855127552;1655385449144152067;1655384665027387393;1655383802187771904;1655383229724065793;1655378362074906626;1655376989845348354;1655372670165299201;1655371670499074048;1655370857798090754;1655369666166923269;1655320415697248264;1655314860845006848;1655309140342763520;1655308500971429895;1655307825910800388;1655303195877335048;1655303016415739906;1655302808428584964;1655302766745509890;1655284181809655809;1655283372220923909;1655253208732712962;1655251203805126662;1655247499253145602;1655245521743691779;1655232141016326145;1655232043805016064;1655232013882777601;1655231787398750209;1655231684801970177;1655231517822529536;1655229404677545992;1655227796333928453;1655227491584180227;1655226519319355393;1655226309038022660;1655225891167805441;1655213997904330752;1655199692479684609;1655199601899577344;1655199098952204288;1655198268433784832;1655197530609557504;1655197019047178240;1655196722891571203;1655191492015652865;1655191032416423939;1655190307951058946;1655190241651597312;1655190143156797442;1655189820782592002;1655189799999881218;1655189645427109888;1655188948065345538;1655188766720417794;1655188412662444032;1655065223605133314;1654984203266654208;1654983648188284932;1654983207291432962,4339.0,2387.0,40356.0,2007-09-08T10:41:57.000Z,False,"founder of Hyndman | Law, co-founder of mesh, co-founder of #HoHoTo. Instagram @rhyndman. Joined September 2007.","Toronto, Ontario"
4476020061,MOHAMED ALIE JALLOH,mohamedaliejal7,0.0,11.0,1.0,0.0,1655258701815590913;1655284616935141377;1654581091649347584;1654588193474244609;1654101036271915012;1654691998266454017;1654565227701125122;1654742285844635648;1654341333404745728;1654665773229518848;1654593905587892225,1539396470922792961;333357345;1291128494;2341582091;730983770577309696;1034665663;1552795969959636992;44196397;2976211865;44196397;247653244,1074406820549156864,,1655298181356302343;1655296861706616833;1654774658460262400;1654774602269073412;1654774493544341504;1654774475806703616;1654773929049726977;1654773917393747972;1654773505404071937;1654771630705459200;1654771381681176576;1654770992353521664,168.0,440.0,15085.0,2015-12-14T01:30:52.000Z,False,"LOVEING AS ALL WAYS❤💖
Being Gentle Every day😊👍",sierra leone
1410388787612446721,Roman,SHodl9000,2.0,17.0,2.0,0.0,1655527682954633216;1655585586428751872;1655510602557665285;1655310130479607808;1654643388061237249;1654881346433736704;1654954438124277760;1654924239018029057;1654425313982685184;1654483585225871360;1654556686382669824;1654222815971909633;1654607292694757376;1653963742160343040;1654316802980081665;1654490389737357315;1654558144884817926,1483252297996156934;1373711826119094272;1200616796295847936;629698642;69156861;1373711826119094272;1200616796295847936;1200616796295847936;1405024062871535620;1455381784351420417;1483252297996156934;301084568;1365381294469824514;1265428695939981318;4437900915;1483252297996156934;1349149096909668363,1483252297996156934;68739089,,1655640972276150275;1655640853237628928;1655640570591862784;1655640430896369664;1655640354383867905;1655639180813402112;1655063253805064193;1655063014104764420;1655062754049548288;1655029209780359170;1654699402668437508;1654665585673007105;1654665495239589891;1654665285436346368;1654665236845314049;1654664540288872449;1654660736403279875;1654660372744511495;1654660075213160449;1654659346935201792;1654658986128605189,435.0,195.0,13216.0,2021-07-01T00:04:37.000Z,True,"iSin(2πFt)
Kenny G. (mayo boi) we coming for you. We won't stop until we see you pick up the soap in jail.",MOASS INYO AS
2673185698,Social Distance Ninja,Buckysmiles,2.0,98.0,0.0,0.0,1655586219869319168;1655702994116136960;1655692894345338881;1653792415277371393;1655689624096784386;1655614862674866183;1655607039417110529;1655703099980517378;1655656748248645633;1655685600115314688;1655619775828045833;1655621025231515650;1655657583598870528;1655636066593034240;1655660121761124352;1655579499415609344;1655638741245915136;1655649008646250496;1655630111935447040;1655629760850976770;1655650848985210910;1655641089439588353;1655649490466922528;1655603877700329472;1655603118757822465;1655517626863349762;1655573836648046597;1655658511529922560;1655543101685899264;1655652381256736789;1655581084912943111;1655564425808543747;1655594969606782978;1655634460262424590;1655605648871022594;1655623686827679744;1655655113376014338;1655651635513679898;1655650656772841487;1655524192224198657;1655513650742935552;1655637497257377793;1655582074110189568;1655623120730959877;1655621600773918725;1655605889556963335;1655618779676651532;1655616688816103426;1655634834402729994;1655621311782322177;1655633849836003332;1655620246265376787;1655598364006678532;1655583354006257664;1655637650760425485;1655574011026219012;1655636402435129350;1655654472754798623;1655655049639370756;1641812601096097793;1655560739350773761;1655648762960699397;1655651420509724673;1655654577578844160;1655614812347412483;1655654705710637057;1655369142789177344;1655647044898283547;1655578087466082309;1655402704955486210;1655348173823524864;1655355592498634753;1655301310390861824;1655519662241894400;1653412498736041984;1655346777233723392;1655574592071647232;1655550785680187393;1655553888026492930;1655414248586059776;1655302249663299587;1655619066114060296;1655607239778922496;1655450073101115392;1655620885360050177;1655494237851377665;1655611862275244033;1655622155579666449;1655620147384832000;1655629613010235414;1655622162663845893;1655623059527675917;1655625021551783947;1655623496079388672;1655402609203888129;1655456812492115968;1655394084427538436;1655429523901501440,23554832;1130021685351079938;15115280;22630520;562518183;1121967352181030912;1087380412089987077;328853975;3472067174;11744152;1299902558346018827;1549677836;1490827876819775488;202175619;344389862;1283446546386653185;7997312;1616852015451353090;28007746;872218179434688512;2978296317;60641262;1351009071097389057;1018947559627386880;1018947559627386880;1344105790689472512;1344105790689472512;981668304761901057;138749160;1350524761663791104;18748145;7587032;1546886265613783042;7587032;21217034;1565572235246673920;1636109947451703298;1344105790689472512;1344105790689472512;27987687;16807528;1361136855157252099;20455625;1344105790689472512;1325632967302131712;21217034;1344105790689472512;1344105790689472512;1344105790689472512;1332181603380969474;1636859529341140994;1325632967302131712;1334670567685959683;861960912176939008;3379003257;1231568109372411905;16588591;22129280;1515571745138348033;52484614;1345808153624064000;1321611417733267457;246939630;118369820;219141142;1474955308757929985;1963813716;922534706993709056;2804332645;1503215850777686018;1433498470074228740;1468723554111864832;412408929;462312323;1482705561816764416;1355097382757797889;1446179637516816388;1446179637516816388;1629552104686624770;1325458727097540608;1446179637516816388;118990336;27987687;1627800032249360386;1339619325578240000;1085903513253806080;1136317807954731014;1594695635445456896;1281858148811206661;1032352572277964801;1505908590003081217;1350524761663791104;780460754910732288;829918169737277440;1640246501925613568;76994475;1593295600048607232;775431206825406464,,,1655704212892798977;1655703969694351360;1655703927176806400;1655703814081589249;1655703769919750144;1655703544291270657;1655703524813025281;1655703479501967360;1655703396609818627;1655703280519901186;1655660782271471632;1655660734292934656;1655660701363347486;1655660621499604992;1655660605204725763;1655660578940043266;1655660428741976070;1655660362279051264;1655660333678178306;1655660272047083520;1655660250630856715;1655660127293153294;1655659896405106691;1655659845255827456;1655659836049072138;1655659730285604865;1655659713613144069;1655659676590125056;1655659492703346695;1655659474877554697;1655659457341169693;1655659435581210624;1655659394196021251;1655659356313071616;1655659322213277708;1655659260619923465;1655658733454630913;1655658704987889678;1655658683093622790;1655658524381151232;1655658287994380295;1655658164904140812;1655657278245052418;1655657131096391682;1655657087571984384;1655657057435934720;1655657006768726023;1655656929379729414;1655656865978523660;1655656843971010566;1655656773728993281;1655656737393745927;1655656495533400067;1655656418907660290;1655656277333123081;1655656238791663639;1655656206961082372;1655656061326467078;1655655837862338579;1655655741846351873;1655655617535651842;1655655581963657216;1655655535226626049;1655655426317230098;1655655339172175873;1655654993582497800;1655654976167747584;1655654929736802317;1655654914134081536;1655654746068340737;1655654725889454080;1655654707740672000;1655654666347094022;1655654579634053125;1655654043564253191;1655653594798907416;1655653576159420424;1655653560309231616;1655653532555436044;1655653501806993444;1655653485075914772;1655652069619949574;1655652035759333395;1655652011671445530;1655651960240889886;1655651934429143073;1655651901847789574;1655651862014484509;1655651806838415365;1655651646385315862;1655651606866583568;1655651581948223522;1655651499349794826;1655651436636561414;1655651409826570242;1655650683423449108;1655565660934533120;1655565456109981697;1655565413739032576;1655565384848756755,1981.0,5000.0,436826.0,2014-07-04T20:36:26.000Z,False,"Law and Order CI, Marvel fan, Vincent D'Onofrio, Chris Evans, Sebastian Stan, Robert Downey Jr., Mark Ruffalo, Clark Gregg, Anthony Mackie, Stan Lee","Brooklyn,  NY"
541529471,#HOUSE_GOP_IS_A_CRIMINAL_GANG,Memorablelabia,2.0,19.0,0.0,0.0,1655542006129786883;1654973302073626626;1655056349330325510;1655056354510516224;1654875913052651522;1655056414321135616;1655037723860779008;1655056457589481480;1654864344742543360;1654884134215450624;1654731648569692160;1654678985886908416;1654468105874096128;1654687035679014913;1654673840532865033;1654687130507943936;1654675474398990336;1654640783281078277;1654490752955629571,1091440768693096448;212787760;1496309439221096452;1932081822;496455154;15164565;402888514;3421301013;1121439996337111041;37843151;258610634;38029205;1073047860260814848;1453270633;18510860;21619519;926164634570067968;15801906;580015454,,,1655542328805965825;1655057368928116737;1655056933781651456;1655056757717348352;1655056712582467584;1655056673273446401;1655056544420237312;1655056509708156928;1654946592896741377;1654946492262785025;1654946343797026817;1654692457202978816;1654691444953878528;1654687668993921024;1654687556041314305;1654687465582759936;1654687418090651649;1654687230219407361;1654687210678132737;1654655159665057794;1654655118971928576,2642.0,4995.0,115839.0,2012-03-31T10:05:18.000Z,True,🌊 #PutinHasEpsteinTrumpStatRapeTapes - Original #YIPPIE/SDS/WU. AntiFa for 50 yrs. In #TheResistance from Day 1. HF Aspie w/SS - Google: “Jondalf Thrasher” 🌊,"Bumphuq, AridZona "
2358170251,Erinescence🇺🇦,Erinescence,2.0,36.0,1.0,0.0,1655677234336653313;1655674225342963712;1655675438629265419;1655667158729527297;1655574321044103168;1655648396017909760;1655642797502783490;1655637489934032898;1655594059430240257;1655589565459988483;1655093621115240449;1655400264239652866;1655207842180128770;1654824848160354305;1655093284878835713;1655030412425478147;1655082374659555330;1655085758775193601;1654832907855228934;1655068065954971650;1654978093885317124;1654888785384034305;1654579970524471297;1654940700994093058;1654913260775260160;1654581285686505473;1654913172137029637;1654888383049617411;1654774825888501762;1654640442045022209;1654652462752583680;1654541517522960384;1654622714810847232;1654622376057872387;1654486373682880516;1654505677736255491,752588557244571648;292549803;564111558;586032653;130557513;2804332645;20280088;130557513;21729713;31532083;135600672;85583894;13202482;36354551;39279821;288277167;15220768;43412697;743683514;15327996;31015297;346964561;358175664;130584469;11866582;33727663;13393052;1179892477714718721;744754237;23578274;88215673;453319164;74519287;96068432;292521710;874659674536194048,43412697,,1655679054463287302;1655678169137938433;1655676835680624672;1655671732055711776;1655650559125250058;1655648511034023942;1655644089960783887;1655642303795453977;1655595386965221378;1655592419390369794;1655562078462124034;1655431671565434883;1655425031910965248;1655255009540427778;1655254158427975681;1655172556322742272;1655093791097856000;1655092578537156609;1655089948691685380;1655089762225516545;1655088194965184515;1655087844115861504;1654979019006156800;1654948450289459203;1654946407168581632;1654942478070427649;1654942063471869952;1654940642856796160;1654913515273039875;1654896514462883844;1654893773267058690;1654791086227836928;1654656346162069504;1654656292328226821;1654628955285082112;1654625926754320387;1654623999102533632;1654620879765094404;1654619606177202177,1146.0,1358.0,154993.0,2014-02-23T15:52:58.000Z,False,"Dogs, politics and good TV",
