,id,numberOfOriginalTweets,numberOfRetweets,numberOfReplies,numberOfQuotes,numberOfFollowers,numberOfFollowing,numberOfTweets,verified
0,126943410,0.0,100.0,0.0,0.0,1459.0,5001.0,99322.0,0
1,1146549086872408069,0.0,63.0,11.0,0.0,2.0,104.0,7647.0,0
2,24524761,0.0,87.0,13.0,0.0,156.0,384.0,177926.0,0
3,512966590,0.0,56.0,1.0,0.0,847.0,4965.0,58213.0,0
4,8743302,2.0,76.0,6.0,16.0,4332.0,2387.0,40529.0,0
5,4476020061,0.0,25.0,2.0,0.0,169.0,442.0,15112.0,0
6,1410388787612446721,7.0,33.0,11.0,0.0,434.0,196.0,13260.0,1
7,2673185698,0.0,99.0,0.0,1.0,1984.0,5001.0,437329.0,0
8,541529471,0.0,76.0,0.0,0.0,2642.0,4997.0,115845.0,1
9,2358170251,5.0,92.0,0.0,3.0,1146.0,1359.0,155096.0,0
10,1867750286,5.0,91.0,4.0,0.0,3441.0,4957.0,925505.0,0
11,47129792,0.0,98.0,0.0,2.0,762.0,1828.0,168875.0,0
12,1250488384746897410,,,,,5.0,43.0,986.0,0
13,2910484010,1.0,85.0,14.0,0.0,1279.0,3763.0,69427.0,0
14,21703259,9.0,48.0,0.0,0.0,10010.0,9730.0,58855.0,0
15,2279566128,0.0,92.0,1.0,1.0,1204.0,1130.0,193488.0,0
16,16148602,15.0,64.0,5.0,16.0,28404.0,5900.0,227839.0,0
17,1327498365077172226,0.0,6.0,5.0,4.0,110.0,417.0,45759.0,0
18,753261688791699456,0.0,93.0,7.0,0.0,1529.0,5000.0,253698.0,0
19,4808850153,,,,,328.0,420.0,35784.0,0
20,1468810363311300609,0.0,91.0,9.0,0.0,1592.0,2218.0,111529.0,1
21,32232142,1.0,33.0,4.0,0.0,6339.0,2650.0,74781.0,0
22,3033082756,0.0,87.0,1.0,12.0,78.0,444.0,23650.0,0
23,24951569,7.0,93.0,0.0,0.0,1018.0,5002.0,64323.0,0
24,1329123577,0.0,98.0,0.0,2.0,511.0,1907.0,123670.0,0
25,168505436,5.0,92.0,0.0,3.0,1343.0,5002.0,365813.0,0
26,863454640796389376,0.0,66.0,0.0,0.0,2009.0,3434.0,80124.0,0
27,1181410363499106304,0.0,99.0,0.0,1.0,899.0,4629.0,181479.0,0
28,1117047552,0.0,100.0,0.0,0.0,702.0,644.0,207854.0,0
29,1415729358761775105,,,,,59.0,505.0,46138.0,0
30,46911568,1.0,74.0,25.0,0.0,129.0,657.0,198916.0,0
31,1009655651306475520,1.0,68.0,20.0,5.0,3603.0,3997.0,155780.0,0
