,id,numberOfOriginalTweets,numberOfRetweets,numberOfReplies,numberOfQuotes,numberOfFollowers,numberOfFollowing,numberOfTweets,verified
0,126943410,3.0,95.0,2.0,0.0,1494.0,5000.0,104435.0,0
1,1146549086872408069,0.0,16.0,4.0,0.0,1.0,100.0,7863.0,0
2,24524761,0.0,85.0,15.0,0.0,170.0,392.0,178975.0,0
3,512966590,0.0,54.0,4.0,2.0,851.0,4983.0,58709.0,0
4,8743302,0.0,62.0,6.0,2.0,4328.0,2407.0,41411.0,0
5,4476020061,0.0,21.0,1.0,0.0,186.0,444.0,15450.0,0
6,1410388787612446721,3.0,46.0,25.0,0.0,446.0,206.0,13900.0,1
7,2673185698,0.0,97.0,2.0,1.0,1977.0,5002.0,442459.0,0
8,541529471,7.0,80.0,12.0,1.0,2646.0,4999.0,116378.0,1
9,2358170251,3.0,29.0,0.0,0.0,1147.0,1360.0,155488.0,0
10,1867750286,2.0,98.0,0.0,0.0,3447.0,4952.0,926068.0,0
11,47129792,0.0,97.0,0.0,3.0,768.0,1843.0,169979.0,0
12,1250488384746897410,2.0,13.0,14.0,0.0,6.0,43.0,1156.0,0
13,2910484010,0.0,5.0,0.0,0.0,1281.0,3762.0,70176.0,0
14,21703259,14.0,65.0,4.0,3.0,9997.0,9750.0,59294.0,0
15,2279566128,1.0,91.0,8.0,0.0,1222.0,1139.0,194209.0,0
16,16148602,10.0,65.0,15.0,10.0,28338.0,5869.0,228325.0,0
17,1327498365077172226,0.0,48.0,33.0,19.0,110.0,418.0,46551.0,0
18,753261688791699456,0.0,39.0,1.0,0.0,1526.0,4998.0,254392.0,0
19,4808850153,,,,,28.0,397.0,35725.0,0
20,1468810363311300609,0.0,86.0,14.0,0.0,1640.0,2270.0,115851.0,1
21,32232142,0.0,15.0,5.0,0.0,6327.0,2657.0,74977.0,0
22,3033082756,0.0,21.0,0.0,2.0,77.0,447.0,23974.0,0
23,24951569,14.0,86.0,0.0,0.0,1018.0,5001.0,65267.0,0
24,1329123577,1.0,90.0,3.0,6.0,523.0,1943.0,125662.0,0
25,168505436,5.0,95.0,0.0,0.0,1361.0,5001.0,366987.0,0
26,863454640796389376,0.0,81.0,0.0,0.0,2000.0,3430.0,80588.0,0
27,1181410363499106304,0.0,100.0,0.0,0.0,913.0,4591.0,184747.0,0
28,1117047552,0.0,58.0,2.0,0.0,708.0,646.0,208697.0,0
29,1415729358761775105,,,,,54.0,504.0,46085.0,0
30,46911568,5.0,87.0,8.0,0.0,133.0,667.0,199554.0,0
31,1009655651306475520,1.0,64.0,33.0,2.0,3611.0,4003.0,156231.0,0
32,1568124685,0.0,100.0,0.0,0.0,1695.0,5001.0,168419.0,0
33,809769590435758080,0.0,92.0,0.0,8.0,14463.0,14582.0,153587.0,0
34,215698464,1.0,88.0,5.0,6.0,2514.0,2419.0,471162.0,0
35,73803494,0.0,86.0,8.0,6.0,879.0,859.0,230151.0,0
36,1321935545690431489,0.0,34.0,8.0,0.0,83.0,199.0,36604.0,0
37,718426119951753216,0.0,85.0,14.0,0.0,1338.0,2675.0,134465.0,0
38,363070453,0.0,99.0,0.0,0.0,4055.0,4995.0,513234.0,0
39,3551046323,1.0,88.0,0.0,11.0,6045.0,5689.0,1064976.0,0
40,971123887407796225,1.0,91.0,6.0,2.0,2183.0,1131.0,132187.0,0
41,1421286320324833280,,,,,293.0,849.0,101519.0,0
42,312093132,0.0,55.0,0.0,0.0,1605.0,418.0,229192.0,0
43,185866880,0.0,94.0,3.0,3.0,1123.0,1913.0,263570.0,0
44,194833420,0.0,14.0,0.0,0.0,114.0,453.0,4792.0,0
45,1029774815358607360,0.0,13.0,5.0,0.0,145.0,935.0,25429.0,0
46,279237257,0.0,46.0,42.0,0.0,519.0,680.0,28618.0,0
47,962468301619294208,3.0,77.0,13.0,7.0,138.0,1614.0,38481.0,0
48,1629234705718743040,,,,,49.0,479.0,3102.0,0
49,97979745,0.0,100.0,0.0,0.0,12434.0,9436.0,202533.0,0
50,4428305440,0.0,100.0,0.0,0.0,325.0,4977.0,394927.0,0
51,1006186075390439424,1.0,90.0,7.0,2.0,3301.0,4973.0,89509.0,0
52,58290199,,,,,10010.0,11126.0,408336.0,0
53,1383949955195301888,4.0,1.0,0.0,0.0,314.0,126.0,4461.0,0
54,1250821743519961089,0.0,100.0,0.0,0.0,267.0,433.0,41110.0,0
55,765942979,3.0,70.0,7.0,1.0,1935.0,306.0,21540.0,0
56,574190667,0.0,77.0,0.0,1.0,428.0,657.0,78662.0,0
57,448706659,,,,,66.0,259.0,1066.0,0
58,17751750,3.0,47.0,0.0,0.0,2115.0,1345.0,95421.0,0
59,1447359014233313282,0.0,28.0,0.0,0.0,199.0,260.0,14507.0,0
60,808416484989030401,0.0,100.0,0.0,0.0,77.0,1468.0,17238.0,0
61,4866717149,0.0,100.0,0.0,0.0,2859.0,5001.0,1186765.0,0
62,891754394580013056,0.0,20.0,5.0,0.0,153.0,140.0,35696.0,0
63,54918325,,,,,1415.0,4948.0,126666.0,0
64,908029048344936448,0.0,36.0,23.0,0.0,295.0,499.0,47738.0,0
65,1478091224099794945,1.0,87.0,9.0,3.0,180.0,857.0,43471.0,0
66,1575182558874112002,,,,,233.0,333.0,818.0,0
67,147992355,4.0,69.0,18.0,9.0,20567.0,3125.0,292713.0,0
68,738797460756127744,0.0,17.0,0.0,0.0,140.0,154.0,1343.0,0
69,2342034456,0.0,100.0,0.0,0.0,974.0,2502.0,275905.0,0
70,1309846065617629184,5.0,67.0,25.0,3.0,383.0,40.0,20347.0,0
71,263751838,0.0,97.0,3.0,0.0,1909.0,4992.0,133420.0,0
72,1071892785098317824,0.0,56.0,6.0,0.0,826.0,496.0,83459.0,0
73,918893786553602048,2.0,25.0,11.0,22.0,999.0,293.0,36051.0,0
74,2887070351,0.0,100.0,0.0,0.0,1678.0,5001.0,460991.0,0
75,1308580280165376002,0.0,56.0,0.0,0.0,297.0,46.0,12727.0,0
76,1099102523405811712,0.0,100.0,0.0,0.0,128.0,418.0,236582.0,0
77,3804407473,4.0,51.0,0.0,1.0,1000.0,2492.0,7840.0,0
78,43354683,9.0,88.0,1.0,2.0,1009.0,5003.0,50477.0,0
79,1196926351015632901,0.0,100.0,0.0,0.0,1373.0,4704.0,89680.0,0
80,840204498,0.0,67.0,6.0,8.0,1296.0,1315.0,19488.0,0
81,1379824802,0.0,93.0,0.0,0.0,11506.0,38.0,85960.0,0
82,610906968,0.0,100.0,0.0,0.0,2812.0,1745.0,197146.0,0
83,4130249369,0.0,99.0,0.0,1.0,2265.0,4057.0,183233.0,0
84,195036383,,,,,731.0,1435.0,160655.0,0
85,4726547997,0.0,1.0,0.0,0.0,163.0,301.0,21005.0,0
86,1591122259665616913,0.0,100.0,0.0,0.0,102.0,357.0,16971.0,0
87,14924757,2.0,9.0,0.0,0.0,837.0,2219.0,73063.0,0
88,332682421,5.0,53.0,5.0,0.0,1379.0,413.0,192487.0,0
89,1203830365057617920,0.0,50.0,0.0,0.0,114.0,380.0,28183.0,0
90,1467209986086371329,0.0,3.0,3.0,0.0,112.0,132.0,14569.0,0
91,1485332827,,,,,2170.0,2318.0,56587.0,0
92,156579343,0.0,91.0,2.0,7.0,1287.0,1309.0,259029.0,0
93,791635240296919040,0.0,40.0,0.0,0.0,162.0,1777.0,6413.0,0
94,549286123,0.0,96.0,1.0,1.0,218.0,3701.0,29121.0,0
95,1066275282653536256,0.0,61.0,1.0,1.0,1665.0,5001.0,941279.0,0
96,1254066229020700672,0.0,29.0,0.0,0.0,1037.0,5006.0,17771.0,0
97,1411726710,0.0,78.0,15.0,6.0,360.0,72.0,88857.0,0
98,3316815356,,,,,63.0,4842.0,3050.0,0
99,1314632168681897985,0.0,67.0,0.0,0.0,301.0,2371.0,49308.0,0
100,2692441893,0.0,100.0,0.0,0.0,48.0,262.0,20437.0,0
101,118794845,0.0,98.0,2.0,0.0,7943.0,265.0,1915930.0,0
102,809424049,0.0,49.0,0.0,0.0,789.0,3142.0,18286.0,0
103,1371406279458095104,0.0,98.0,1.0,0.0,315.0,26.0,7241.0,0
104,1259593528675577857,,,,,73.0,163.0,6846.0,0
105,1520322745887870976,6.0,92.0,0.0,2.0,55.0,1032.0,40934.0,0
106,1372132990848016385,0.0,100.0,0.0,0.0,286.0,1374.0,71626.0,0
107,1484172541879107584,0.0,82.0,18.0,0.0,831.0,440.0,37238.0,0
108,115907262,24.0,57.0,16.0,3.0,2581.0,5001.0,361364.0,0
109,1561092100296527876,0.0,95.0,3.0,1.0,1593.0,2360.0,153459.0,0
110,1391299076,2.0,91.0,3.0,4.0,1579.0,4993.0,134127.0,0
111,39565575,0.0,10.0,0.0,0.0,1142.0,627.0,55981.0,0
112,15677734,4.0,95.0,1.0,0.0,1946.0,4460.0,553791.0,0
113,190897786,0.0,27.0,2.0,0.0,69.0,123.0,22924.0,0
114,20826640,1.0,95.0,0.0,4.0,2013.0,2000.0,352596.0,0
115,1498957402091266052,0.0,37.0,4.0,0.0,16.0,71.0,10078.0,0
116,50445229,0.0,16.0,0.0,0.0,1469.0,4999.0,41583.0,0
117,1497471523275345920,0.0,100.0,0.0,0.0,24.0,86.0,39680.0,0
118,988277286204932096,0.0,95.0,5.0,0.0,656.0,1626.0,154106.0,0
119,454653353,0.0,48.0,0.0,0.0,96.0,219.0,31147.0,0
120,1858208300,0.0,97.0,3.0,0.0,268.0,103.0,11010.0,0
121,1597603886365286400,3.0,56.0,0.0,0.0,18.0,65.0,4327.0,0
122,1503983593370042369,0.0,22.0,1.0,0.0,11.0,27.0,2795.0,0
123,3163491621,11.0,89.0,0.0,0.0,546.0,4913.0,83560.0,0
124,1449406611550785540,2.0,58.0,4.0,36.0,10125.0,1751.0,25663.0,0
