,id,numberOfOriginalTweets,numberOfRetweets,numberOfReplies,numberOfQuotes,numberOfFollowers,numberOfFollowing,numberOfTweets,verified
0,126943410,2.0,98.0,0.0,0.0,1498.0,5000.0,107569.0,0
1,1146549086872408069,0.0,13.0,1.0,0.0,1.0,103.0,8068.0,0
2,24524761,0.0,69.0,29.0,0.0,191.0,398.0,181400.0,0
3,512966590,0.0,52.0,0.0,1.0,844.0,4987.0,59072.0,0
4,8743302,1.0,81.0,1.0,6.0,4317.0,2422.0,42279.0,0
5,4476020061,0.0,96.0,4.0,0.0,213.0,449.0,16088.0,0
6,1410388787612446721,3.0,77.0,20.0,0.0,453.0,220.0,14272.0,1
7,2673185698,,,,,1978.0,4994.0,447459.0,0
8,541529471,8.0,48.0,6.0,0.0,2651.0,5001.0,116800.0,1
9,2358170251,3.0,13.0,0.0,0.0,1147.0,1364.0,155808.0,0
10,1867750286,3.0,96.0,1.0,0.0,3440.0,4954.0,927326.0,0
11,47129792,0.0,63.0,0.0,3.0,773.0,1845.0,170537.0,0
12,1250488384746897410,0.0,42.0,12.0,0.0,8.0,46.0,1381.0,0
13,2910484010,0.0,72.0,3.0,0.0,1286.0,3797.0,70871.0,0
14,21703259,8.0,42.0,1.0,1.0,10003.0,9791.0,59568.0,0
15,2279566128,1.0,97.0,2.0,0.0,1231.0,1141.0,194970.0,0
16,16148602,14.0,41.0,5.0,8.0,28319.0,5893.0,228647.0,0
17,1327498365077172226,0.0,34.0,12.0,9.0,115.0,422.0,47515.0,0
18,753261688791699456,0.0,41.0,6.0,0.0,1530.0,5001.0,254872.0,0
19,4808850153,,,,,26.0,396.0,35725.0,0
20,1468810363311300609,0.0,77.0,23.0,0.0,1635.0,2288.0,119150.0,1
21,32232142,0.0,7.0,0.0,0.0,6320.0,2657.0,75121.0,0
22,3033082756,0.0,65.0,0.0,0.0,76.0,446.0,24226.0,0
23,24951569,11.0,89.0,0.0,0.0,1023.0,5002.0,65804.0,0
24,1329123577,0.0,95.0,2.0,3.0,532.0,1971.0,126863.0,0
25,168505436,7.0,86.0,2.0,5.0,1370.0,5001.0,367929.0,0
26,863454640796389376,0.0,75.0,1.0,0.0,2013.0,3455.0,81014.0,0
27,1181410363499106304,,,,,925.0,4558.0,189199.0,0
28,1117047552,0.0,99.0,1.0,0.0,716.0,648.0,209672.0,0
29,1415729358761775105,,,,,56.0,506.0,46071.0,0
30,46911568,2.0,62.0,4.0,0.0,140.0,681.0,199832.0,0
31,1009655651306475520,0.0,37.0,12.0,1.0,3615.0,4003.0,156673.0,0
32,1568124685,0.0,100.0,0.0,0.0,1700.0,4998.0,169222.0,0
33,809769590435758080,0.0,89.0,0.0,11.0,14485.0,14593.0,154453.0,0
34,215698464,0.0,91.0,1.0,7.0,2525.0,2450.0,474167.0,0
35,73803494,0.0,70.0,14.0,15.0,889.0,862.0,231708.0,0
36,1321935545690431489,3.0,30.0,4.0,0.0,83.0,199.0,36851.0,0
37,718426119951753216,0.0,87.0,11.0,1.0,1342.0,2676.0,135405.0,0
38,363070453,,,,,4104.0,4998.0,522731.0,0
39,3551046323,0.0,93.0,3.0,4.0,6058.0,5710.0,1068821.0,0
40,971123887407796225,1.0,93.0,6.0,0.0,2194.0,1135.0,133441.0,0
41,1421286320324833280,0.0,100.0,0.0,0.0,290.0,851.0,102236.0,0
42,312093132,0.0,74.0,2.0,1.0,1603.0,418.0,229704.0,0
43,185866880,0.0,98.0,0.0,2.0,1111.0,1922.0,265943.0,0
44,194833420,0.0,23.0,1.0,1.0,127.0,453.0,4984.0,0
45,1029774815358607360,0.0,2.0,0.0,0.0,146.0,943.0,25564.0,0
46,279237257,1.0,56.0,42.0,1.0,530.0,693.0,29083.0,0
47,962468301619294208,1.0,75.0,12.0,9.0,140.0,1620.0,39514.0,0
48,1629234705718743040,,,,,49.0,478.0,3100.0,0
49,97979745,,,,,12443.0,9510.0,211495.0,0
50,4428305440,0.0,100.0,0.0,0.0,324.0,4991.0,398016.0,0
51,1006186075390439424,0.0,85.0,9.0,5.0,3299.0,4981.0,90565.0,0
52,58290199,,,,,9999.0,11115.0,408276.0,0
53,1383949955195301888,4.0,0.0,1.0,0.0,322.0,116.0,4488.0,0
54,1250821743519961089,0.0,47.0,1.0,1.0,275.0,438.0,41459.0,0
55,765942979,2.0,35.0,5.0,0.0,1939.0,323.0,21733.0,0
56,574190667,0.0,100.0,0.0,0.0,432.0,658.0,79360.0,0
57,448706659,0.0,10.0,0.0,0.0,63.0,259.0,1097.0,0
58,17751750,19.0,66.0,0.0,0.0,2116.0,1353.0,95930.0,0
59,1447359014233313282,0.0,12.0,0.0,0.0,183.0,263.0,14633.0,0
60,808416484989030401,0.0,100.0,0.0,0.0,112.0,1472.0,18268.0,0
61,4866717149,,,,,2858.0,5002.0,1191765.0,0
62,891754394580013056,1.0,10.0,3.0,0.0,154.0,138.0,35781.0,0
63,54918325,0.0,100.0,0.0,0.0,1423.0,4982.0,127364.0,0
64,908029048344936448,0.0,20.0,5.0,0.0,298.0,498.0,47956.0,0
65,1478091224099794945,1.0,91.0,3.0,4.0,176.0,875.0,44650.0,0
66,1575182558874112002,,,,,230.0,331.0,817.0,0
67,147992355,2.0,67.0,25.0,6.0,20650.0,3127.0,293721.0,0
68,738797460756127744,0.0,35.0,0.0,0.0,163.0,155.0,1640.0,0
69,2342034456,,,,,1005.0,2501.0,280770.0,0
70,1309846065617629184,8.0,74.0,16.0,2.0,387.0,42.0,20929.0,0
71,263751838,1.0,98.0,1.0,0.0,1948.0,4994.0,135920.0,0
72,1071892785098317824,0.0,91.0,6.0,0.0,831.0,499.0,83739.0,0
73,918893786553602048,1.0,28.0,6.0,16.0,1008.0,310.0,36251.0,0
74,2887070351,1.0,93.0,6.0,0.0,1676.0,4972.0,463748.0,0
75,1308580280165376002,0.0,100.0,0.0,0.0,352.0,50.0,13953.0,0
76,1099102523405811712,0.0,100.0,0.0,0.0,130.0,417.0,239821.0,0
77,3804407473,4.0,15.0,0.0,2.0,1004.0,2503.0,7993.0,0
78,43354683,4.0,95.0,0.0,1.0,1025.0,5001.0,51572.0,0
79,1196926351015632901,0.0,100.0,0.0,0.0,1391.0,4699.0,93240.0,0
80,840204498,0.0,71.0,10.0,6.0,1299.0,1317.0,19762.0,0
81,1379824802,0.0,100.0,0.0,0.0,11532.0,38.0,86535.0,0
82,610906968,0.0,100.0,0.0,0.0,2817.0,1749.0,198083.0,0
83,4130249369,1.0,89.0,0.0,1.0,2264.0,4055.0,184055.0,0
84,195036383,,,,,730.0,1434.0,160642.0,0
85,4726547997,,,,,168.0,301.0,21152.0,0
86,1591122259665616913,0.0,99.0,0.0,0.0,118.0,366.0,17846.0,0
87,14924757,0.0,99.0,0.0,1.0,849.0,2222.0,73454.0,0
88,332682421,0.0,94.0,0.0,0.0,1378.0,414.0,192940.0,0
89,1203830365057617920,0.0,79.0,0.0,0.0,119.0,387.0,28550.0,0
90,1467209986086371329,1.0,6.0,12.0,0.0,111.0,137.0,14664.0,0
91,1485332827,,,,,2176.0,2320.0,56566.0,0
92,156579343,1.0,84.0,2.0,13.0,1315.0,1333.0,260957.0,0
93,791635240296919040,0.0,32.0,0.0,0.0,157.0,1778.0,6600.0,0
94,549286123,0.0,79.0,3.0,0.0,217.0,3742.0,29706.0,0
95,1066275282653536256,,,,,1722.0,5001.0,951102.0,0
96,1254066229020700672,0.0,75.0,0.0,0.0,1044.0,5003.0,18189.0,0
97,1411726710,3.0,52.0,25.0,6.0,362.0,72.0,89576.0,0
98,3316815356,,,,,68.0,4840.0,3050.0,0
99,1314632168681897985,0.0,96.0,0.0,0.0,306.0,2378.0,49705.0,0
100,2692441893,0.0,100.0,0.0,0.0,51.0,267.0,20891.0,0
101,118794845,,,,,,,,0
102,809424049,0.0,100.0,0.0,0.0,830.0,3128.0,19012.0,0
103,1371406279458095104,0.0,99.0,1.0,0.0,296.0,26.0,7648.0,0
104,1259593528675577857,0.0,29.0,2.0,0.0,72.0,163.0,6956.0,0
105,1520322745887870976,2.0,98.0,0.0,0.0,73.0,1107.0,43190.0,0
106,1372132990848016385,4.0,96.0,0.0,0.0,285.0,1372.0,73842.0,0
107,1484172541879107584,0.0,97.0,3.0,0.0,834.0,443.0,39721.0,0
108,115907262,28.0,38.0,29.0,3.0,2617.0,5001.0,362886.0,0
109,1561092100296527876,0.0,92.0,3.0,4.0,1628.0,2402.0,158039.0,0
110,1391299076,0.0,96.0,3.0,1.0,1585.0,5000.0,137353.0,0
111,39565575,0.0,16.0,0.0,0.0,1144.0,627.0,56606.0,0
112,15677734,,,,,1869.0,4466.0,559091.0,0
113,190897786,0.0,26.0,1.0,0.0,73.0,124.0,23431.0,0
114,20826640,0.0,98.0,0.0,2.0,2028.0,2026.0,355077.0,0
115,1498957402091266052,0.0,21.0,1.0,0.0,20.0,71.0,10560.0,0
116,50445229,0.0,28.0,2.0,0.0,1463.0,5003.0,41743.0,0
117,1497471523275345920,0.0,100.0,0.0,0.0,30.0,86.0,41347.0,0
118,988277286204932096,0.0,88.0,11.0,0.0,663.0,1633.0,155405.0,0
119,454653353,0.0,49.0,0.0,1.0,98.0,219.0,31483.0,0
120,1858208300,0.0,85.0,4.0,1.0,306.0,109.0,12889.0,0
121,1597603886365286400,7.0,93.0,0.0,0.0,13.0,66.0,4947.0,0
122,1503983593370042369,0.0,46.0,11.0,0.0,11.0,27.0,2941.0,0
123,3163491621,7.0,93.0,0.0,0.0,554.0,4918.0,85882.0,0
124,1449406611550785540,2.0,57.0,8.0,32.0,10415.0,1781.0,26343.0,0
125,919937808172834818,0.0,100.0,0.0,0.0,1928.0,382.0,133520.0,0
126,3047679997,0.0,6.0,0.0,0.0,18.0,117.0,7035.0,0
127,106902512,0.0,92.0,8.0,0.0,180.0,655.0,65828.0,0
128,1199154956760055808,0.0,31.0,0.0,0.0,96.0,91.0,6762.0,0
129,1498379996,0.0,100.0,0.0,0.0,279.0,142.0,194622.0,0
130,388187529,3.0,81.0,12.0,4.0,2209.0,4564.0,224409.0,0
131,1317998036132352000,5.0,21.0,0.0,1.0,1.0,89.0,21039.0,0
132,2904916593,0.0,96.0,4.0,0.0,314.0,993.0,111024.0,0
133,930415257176170496,0.0,54.0,0.0,0.0,188.0,512.0,64974.0,0
134,796473629617819652,,,,,1582.0,4967.0,476103.0,0
135,1689522686,0.0,69.0,0.0,0.0,225.0,570.0,47736.0,0
136,1453350287570317313,,,,,133.0,359.0,32711.0,0
137,702671887529336834,0.0,100.0,0.0,0.0,240.0,85.0,316146.0,0
138,270088915,0.0,97.0,1.0,1.0,1535.0,2235.0,108562.0,0
139,1209545233391849473,2.0,89.0,9.0,0.0,424.0,507.0,43675.0,0
140,1365237606,0.0,1.0,0.0,0.0,359.0,996.0,28138.0,0
141,801877950819958784,0.0,98.0,1.0,1.0,682.0,1981.0,111775.0,0
142,245984590,1.0,64.0,1.0,0.0,1563.0,5001.0,51368.0,0
143,1281303947857113088,,,,,1579.0,4475.0,593916.0,0
144,1385307063526453248,,,,,41.0,48.0,25004.0,0
145,1512044084902440963,0.0,74.0,22.0,4.0,515.0,1953.0,27012.0,0
146,71933305,5.0,61.0,32.0,2.0,3455.0,667.0,30907.0,0
147,270353353,1.0,31.0,0.0,0.0,87.0,205.0,12388.0,0
