,id,numberOfOriginalTweets,numberOfRetweets,numberOfReplies,numberOfQuotes,numberOfFollowers,numberOfFollowing,numberOfTweets,verified
0,126943410,5.0,94.0,1.0,0.0,1456.0,5001.0,98472.0,0
1,1146549086872408069,0.0,21.0,1.0,0.0,2.0,117.0,7565.0,0
2,24524761,0.0,90.0,10.0,0.0,161.0,382.0,177304.0,0
3,512966590,0.0,64.0,0.0,0.0,850.0,4964.0,58158.0,0
4,8743302,2.0,82.0,5.0,11.0,4339.0,2387.0,40356.0,0
5,4476020061,0.0,11.0,1.0,0.0,168.0,440.0,15085.0,0
6,1410388787612446721,2.0,17.0,2.0,0.0,435.0,195.0,13216.0,1
7,2673185698,2.0,98.0,0.0,0.0,1981.0,5000.0,436826.0,0
8,541529471,2.0,19.0,0.0,0.0,2642.0,4995.0,115839.0,1
9,2358170251,2.0,36.0,1.0,0.0,1146.0,1358.0,154993.0,0
10,1867750286,0.0,100.0,0.0,0.0,3435.0,4954.0,926178.0,0
11,47129792,0.0,99.0,0.0,1.0,762.0,1826.0,168647.0,0
12,1250488384746897410,1.0,11.0,3.0,0.0,5.0,43.0,986.0,0
13,2910484010,0.0,36.0,1.0,0.0,1278.0,3761.0,69302.0,0
14,21703259,10.0,71.0,3.0,1.0,10014.0,9733.0,58786.0,0
15,2279566128,0.0,98.0,2.0,0.0,1203.0,1129.0,193843.0,0
16,16148602,13.0,65.0,11.0,10.0,28419.0,5897.0,227718.0,0
17,1327498365077172226,0.0,8.0,5.0,7.0,110.0,417.0,45744.0,0
18,753261688791699456,0.0,71.0,6.0,0.0,1528.0,4997.0,253743.0,0
19,4808850153,,,,,330.0,420.0,35792.0,0
20,1468810363311300609,11.0,80.0,9.0,0.0,1567.0,2203.0,110298.0,1
21,32232142,1.0,42.0,1.0,2.0,6341.0,2644.0,74742.0,0
22,3033082756,0.0,87.0,0.0,5.0,78.0,445.0,23509.0,0
23,24951569,10.0,90.0,0.0,0.0,1016.0,5001.0,64043.0,0
24,1329123577,0.0,93.0,1.0,6.0,510.0,1903.0,123359.0,0
25,168505436,4.0,93.0,1.0,2.0,1347.0,4998.0,365497.0,0
26,863454640796389376,0.0,45.0,0.0,1.0,2002.0,3425.0,80047.0,0
27,1181410363499106304,0.0,100.0,0.0,0.0,899.0,4629.0,181257.0,0
28,1117047552,0.0,99.0,1.0,0.0,702.0,642.0,207628.0,0
29,1415729358761775105,,,,,60.0,504.0,46141.0,0
30,46911568,4.0,73.0,23.0,0.0,128.0,653.0,198796.0,0
31,1009655651306475520,0.0,72.0,23.0,5.0,3601.0,3993.0,155690.0,0
32,1568124685,0.0,100.0,0.0,0.0,1670.0,4997.0,167043.0,0
33,809769590435758080,0.0,88.0,0.0,12.0,14460.0,14573.0,152123.0,0
34,215698464,0.0,99.0,0.0,1.0,2514.0,2443.0,465810.0,0
35,73803494,1.0,76.0,9.0,14.0,870.0,855.0,228688.0,0
36,1321935545690431489,1.0,17.0,2.0,0.0,83.0,198.0,36199.0,0
37,718426119951753216,1.0,94.0,5.0,0.0,1307.0,2661.0,130630.0,0
