,id,numberOfOriginalTweets,numberOfRetweets,numberOfReplies,numberOfQuotes,numberOfFollowers,numberOfFollowing,numberOfTweets,verified
0,126943410,4.0,95.0,0.0,0.0,1498.0,5000.0,107813.0,0
1,1146549086872408069,0.0,59.0,21.0,1.0,1.0,104.0,8073.0,0
2,24524761,0.0,89.0,11.0,0.0,190.0,398.0,181516.0,0
3,512966590,1.0,99.0,0.0,0.0,844.0,4987.0,59079.0,0
4,8743302,1.0,76.0,8.0,15.0,4317.0,2421.0,42298.0,0
5,4476020061,0.0,99.0,1.0,0.0,215.0,449.0,16144.0,0
6,1410388787612446721,3.0,38.0,59.0,0.0,454.0,220.0,14274.0,1
7,2673185698,0.0,97.0,3.0,0.0,1978.0,4994.0,447546.0,0
8,541529471,2.0,60.0,20.0,12.0,2651.0,5001.0,116800.0,1
9,2358170251,6.0,77.0,3.0,3.0,1147.0,1364.0,155818.0,0
10,1867750286,2.0,95.0,3.0,0.0,3441.0,4955.0,927424.0,0
11,47129792,0.0,96.0,0.0,4.0,773.0,1845.0,170541.0,0
12,1250488384746897410,1.0,36.0,18.0,0.0,8.0,46.0,1381.0,0
13,2910484010,1.0,91.0,6.0,2.0,1285.0,3797.0,70888.0,0
14,21703259,6.0,62.0,1.0,0.0,10001.0,9791.0,59580.0,0
15,2279566128,0.0,96.0,0.0,4.0,1231.0,1141.0,194971.0,0
16,16148602,36.0,43.0,9.0,12.0,28314.0,5893.0,228666.0,0
17,1327498365077172226,0.0,62.0,20.0,18.0,115.0,422.0,47543.0,0
18,753261688791699456,0.0,93.0,7.0,0.0,1530.0,5001.0,254875.0,0
19,4808850153,,,,,26.0,396.0,35725.0,0
20,1468810363311300609,0.0,96.0,3.0,0.0,1639.0,2288.0,119287.0,1
21,32232142,5.0,61.0,11.0,0.0,6320.0,2657.0,75121.0,0
22,3033082756,0.0,41.0,0.0,5.0,76.0,446.0,24231.0,0
23,24951569,8.0,65.0,0.0,0.0,1023.0,5002.0,65804.0,0
24,1329123577,2.0,86.0,1.0,11.0,532.0,1970.0,126914.0,0
25,168505436,8.0,83.0,5.0,4.0,1369.0,5002.0,367942.0,0
26,863454640796389376,0.0,100.0,0.0,0.0,2015.0,3455.0,81013.0,0
27,1181410363499106304,0.0,100.0,0.0,0.0,926.0,4558.0,189215.0,0
28,1117047552,0.0,100.0,0.0,0.0,714.0,648.0,209678.0,0
29,1415729358761775105,,,,,56.0,505.0,46071.0,0
30,46911568,1.0,73.0,6.0,0.0,141.0,680.0,199835.0,0
31,1009655651306475520,4.0,66.0,29.0,0.0,3614.0,4003.0,156689.0,0
32,1568124685,0.0,100.0,0.0,0.0,1700.0,4999.0,169265.0,0
33,809769590435758080,1.0,76.0,0.0,23.0,14486.0,14594.0,154466.0,0
34,215698464,0.0,93.0,0.0,7.0,2526.0,2450.0,474175.0,0
35,73803494,0.0,81.0,5.0,14.0,889.0,862.0,231775.0,0
36,1321935545690431489,1.0,38.0,7.0,0.0,83.0,199.0,36851.0,0
