,id,numberOfOriginalTweets,numberOfRetweets,numberOfReplies,numberOfQuotes,numberOfFollowers,numberOfFollowing,numberOfTweets,verified
0,126943410,5.0,93.0,2.0,0.0,1499.0,5000.0,107803.0,0
1,1146549086872408069,0.0,50.0,4.0,0.0,1.0,104.0,8067.0,0
2,24524761,0.0,76.0,24.0,0.0,190.0,398.0,181400.0,0
3,512966590,0.0,98.0,1.0,1.0,844.0,4987.0,59078.0,0
4,8743302,0.0,89.0,2.0,9.0,4317.0,2421.0,42291.0,0
5,4476020061,0.0,99.0,1.0,0.0,214.0,449.0,16126.0,0
6,1410388787612446721,1.0,29.0,13.0,0.0,454.0,220.0,14274.0,1
7,2673185698,0.0,98.0,1.0,0.0,1978.0,4994.0,447520.0,0
8,541529471,7.0,83.0,7.0,2.0,2651.0,5001.0,116800.0,1
9,2358170251,9.0,83.0,3.0,1.0,1147.0,1364.0,155812.0,0
10,1867750286,1.0,99.0,0.0,0.0,3441.0,4955.0,927424.0,0
11,47129792,0.0,98.0,0.0,2.0,773.0,1845.0,170540.0,0
12,1250488384746897410,0.0,63.0,20.0,0.0,8.0,46.0,1381.0,0
13,2910484010,0.0,86.0,14.0,0.0,1286.0,3797.0,70877.0,0
14,21703259,9.0,35.0,0.0,0.0,10002.0,9790.0,59572.0,0
15,2279566128,0.0,87.0,10.0,3.0,1231.0,1141.0,194971.0,0
16,16148602,16.0,59.0,4.0,5.0,28315.0,5893.0,228657.0,0
17,1327498365077172226,0.0,52.0,28.0,20.0,115.0,422.0,47543.0,0
18,753261688791699456,0.0,87.0,13.0,0.0,1530.0,5001.0,254873.0,0
19,4808850153,,,,,26.0,396.0,35725.0,0
20,1468810363311300609,4.0,88.0,6.0,0.0,1635.0,2289.0,119287.0,1
21,32232142,0.0,21.0,6.0,1.0,6320.0,2657.0,75121.0,0
22,3033082756,1.0,60.0,0.0,5.0,76.0,446.0,24226.0,0
23,24951569,13.0,87.0,0.0,0.0,1023.0,5002.0,65804.0,0
24,1329123577,0.0,75.0,10.0,15.0,532.0,1971.0,126884.0,0
25,168505436,0.0,98.0,1.0,1.0,1369.0,5002.0,367931.0,0
26,863454640796389376,0.0,71.0,0.0,0.0,2015.0,3455.0,81013.0,0
27,1181410363499106304,0.0,100.0,0.0,0.0,926.0,4558.0,189216.0,0
28,1117047552,0.0,97.0,3.0,0.0,715.0,648.0,209672.0,0
29,1415729358761775105,,,,,56.0,505.0,46071.0,0
30,46911568,2.0,89.0,6.0,0.0,141.0,680.0,199830.0,0
31,1009655651306475520,1.0,79.0,19.0,1.0,3616.0,4003.0,156679.0,0
32,1568124685,0.0,98.0,0.0,0.0,1700.0,4998.0,169224.0,0
33,809769590435758080,0.0,89.0,0.0,11.0,14487.0,14594.0,154457.0,0
34,215698464,0.0,95.0,1.0,4.0,2525.0,2450.0,474175.0,0
35,73803494,0.0,74.0,16.0,10.0,888.0,862.0,231728.0,0
36,1321935545690431489,3.0,66.0,7.0,1.0,83.0,199.0,36851.0,0
37,718426119951753216,0.0,93.0,6.0,0.0,1341.0,2675.0,135405.0,0
38,363070453,,,,,4101.0,4998.0,522729.0,0
39,3551046323,0.0,87.0,10.0,3.0,6057.0,5709.0,1068838.0,0
40,971123887407796225,1.0,90.0,9.0,0.0,2194.0,1135.0,133444.0,0
41,1421286320324833280,,,,,290.0,851.0,102236.0,0
42,312093132,0.0,96.0,3.0,0.0,1603.0,418.0,229704.0,0
43,185866880,0.0,95.0,1.0,4.0,1111.0,1922.0,265985.0,0
44,194833420,0.0,49.0,2.0,0.0,128.0,453.0,4986.0,0
45,1029774815358607360,0.0,16.0,5.0,0.0,146.0,943.0,25571.0,0
46,279237257,0.0,54.0,43.0,3.0,531.0,693.0,29083.0,0
47,962468301619294208,3.0,81.0,14.0,1.0,140.0,1621.0,39541.0,0
48,1629234705718743040,,,,,49.0,478.0,3100.0,0
49,97979745,,,,,12443.0,9510.0,211659.0,0
50,4428305440,0.0,100.0,0.0,0.0,324.0,4989.0,398101.0,0
51,1006186075390439424,2.0,77.0,14.0,4.0,3299.0,4981.0,90570.0,0
52,58290199,0.0,1.0,0.0,0.0,9998.0,11115.0,408276.0,0
53,1383949955195301888,5.0,1.0,0.0,0.0,322.0,117.0,4505.0,0
54,1250821743519961089,0.0,62.0,2.0,0.0,275.0,438.0,41462.0,0
55,765942979,4.0,27.0,3.0,0.0,1940.0,323.0,21734.0,0
56,574190667,3.0,96.0,0.0,1.0,432.0,658.0,79360.0,0
57,448706659,0.0,4.0,0.0,0.0,63.0,259.0,1097.0,0
58,17751750,12.0,76.0,0.0,0.0,2116.0,1353.0,95933.0,0
59,1447359014233313282,0.0,24.0,0.0,0.0,183.0,263.0,14633.0,0
60,808416484989030401,0.0,96.0,0.0,0.0,113.0,1470.0,18268.0,0
61,4866717149,0.0,96.0,2.0,1.0,2860.0,5002.0,1191843.0,0
