,id,numberOfOriginalTweets,numberOfRetweets,numberOfReplies,numberOfQuotes,numberOfFollowers,numberOfFollowing,numberOfTweets,verified
0,126943410,3.0,97.0,0.0,0.0,1432.0,4994.0,94577.0,0
1,1146549086872408069,0.0,26.0,1.0,0.0,2.0,115.0,7347.0,0
2,24524761,0.0,90.0,10.0,0.0,115.0,370.0,174458.0,0
3,512966590,0.0,69.0,0.0,0.0,846.0,4964.0,57920.0,0
4,8743302,7.0,77.0,5.0,11.0,4344.0,2357.0,39417.0,0
5,4476020061,0.0,13.0,0.0,0.0,162.0,439.0,14988.0,0
6,1410388787612446721,4.0,30.0,2.0,0.0,437.0,193.0,13129.0,1
7,2673185698,0.0,96.0,3.0,1.0,1974.0,4994.0,431695.0,0
8,541529471,12.0,30.0,10.0,7.0,2640.0,4993.0,115735.0,1
9,2358170251,6.0,72.0,4.0,0.0,1149.0,1353.0,154475.0,0
10,1867750286,1.0,99.0,0.0,0.0,3440.0,4950.0,927049.0,0
11,47129792,0.0,97.0,0.0,2.0,763.0,1815.0,168154.0,0
12,1250488384746897410,1.0,36.0,9.0,0.0,5.0,43.0,860.0,0
13,2910484010,0.0,79.0,7.0,0.0,1278.0,3713.0,68858.0,0
14,21703259,16.0,75.0,3.0,1.0,10016.0,9717.0,58364.0,0
15,2279566128,3.0,80.0,14.0,3.0,1197.0,1123.0,193099.0,0
16,16148602,17.0,66.0,6.0,11.0,28445.0,5909.0,226860.0,0
17,1327498365077172226,0.0,47.0,35.0,18.0,106.0,416.0,45409.0,0
18,753261688791699456,0.0,75.0,3.0,0.0,1532.0,4997.0,253449.0,0
19,4808850153,0.0,35.0,10.0,0.0,333.0,420.0,35811.0,0
20,1468810363311300609,1.0,73.0,26.0,0.0,1537.0,2163.0,105847.0,1
21,32232142,1.0,37.0,4.0,0.0,6326.0,2631.0,74473.0,0
22,3033082756,5.0,43.0,0.0,4.0,80.0,445.0,22741.0,0
23,24951569,8.0,92.0,0.0,0.0,1016.0,5000.0,63263.0,0
24,1329123577,0.0,93.0,4.0,3.0,506.0,1852.0,121798.0,0
25,168505436,2.0,96.0,1.0,1.0,1340.0,4998.0,364276.0,0
26,863454640796389376,2.0,96.0,1.0,1.0,1999.0,3428.0,79624.0,0
27,1181410363499106304,0.0,100.0,0.0,0.0,896.0,4641.0,179180.0,0
28,1117047552,1.0,88.0,0.0,0.0,698.0,640.0,206773.0,0
29,1415729358761775105,,,,,61.0,504.0,46197.0,0
30,46911568,1.0,90.0,9.0,0.0,124.0,603.0,197770.0,0
31,1009655651306475520,3.0,74.0,20.0,3.0,3585.0,3993.0,154711.0,0
32,1568124685,0.0,66.0,0.0,0.0,1658.0,4997.0,166555.0,0
33,809769590435758080,0.0,94.0,0.0,6.0,14439.0,14527.0,150778.0,0
34,215698464,0.0,96.0,0.0,4.0,2515.0,2428.0,463675.0,0
35,73803494,1.0,86.0,7.0,6.0,870.0,851.0,227291.0,0
36,1321935545690431489,2.0,56.0,10.0,0.0,80.0,197.0,35953.0,0
37,718426119951753216,1.0,78.0,20.0,1.0,1298.0,2650.0,128262.0,0
38,363070453,1.0,97.0,0.0,2.0,3967.0,4985.0,482072.0,0
39,3551046323,0.0,85.0,1.0,14.0,6004.0,5650.0,1047828.0,0
40,971123887407796225,0.0,99.0,0.0,1.0,2096.0,1088.0,128960.0,0
41,1421286320324833280,0.0,100.0,0.0,0.0,279.0,844.0,98058.0,0
42,312093132,0.0,31.0,1.0,0.0,1605.0,420.0,228280.0,0
43,185866880,0.0,96.0,0.0,4.0,1081.0,1858.0,257009.0,0
