,id,numberOfOriginalTweets,numberOfRetweets,numberOfReplies,numberOfQuotes,numberOfFollowers,numberOfFollowing,numberOfTweets,verified
0,126943410,4.0,95.0,1.0,0.0,1468.0,5000.0,100643.0,0
1,1146549086872408069,0.0,23.0,3.0,0.0,2.0,102.0,7713.0,0
2,24524761,0.0,36.0,11.0,0.0,151.0,384.0,177966.0,0
3,512966590,0.0,82.0,1.0,0.0,851.0,4965.0,58387.0,0
4,8743302,5.0,77.0,1.0,17.0,4331.0,2400.0,40849.0,0
5,4476020061,,,,,172.0,442.0,15186.0,0
6,1410388787612446721,4.0,40.0,6.0,0.0,437.0,197.0,13344.0,1
7,2673185698,0.0,98.0,1.0,1.0,1978.0,5000.0,438315.0,0
8,541529471,4.0,58.0,13.0,5.0,2641.0,4995.0,116006.0,1
9,2358170251,10.0,83.0,5.0,1.0,1146.0,1358.0,155231.0,0
10,1867750286,3.0,94.0,2.0,0.0,3442.0,4956.0,925728.0,0
11,47129792,1.0,98.0,0.0,1.0,765.0,1839.0,169095.0,0
12,1250488384746897410,0.0,41.0,1.0,0.0,5.0,43.0,1045.0,0
13,2910484010,0.0,83.0,17.0,0.0,1280.0,3761.0,69654.0,0
14,21703259,18.0,55.0,3.0,1.0,10001.0,9727.0,58968.0,0
15,2279566128,1.0,87.0,9.0,3.0,1204.0,1135.0,193724.0,0
16,16148602,6.0,65.0,9.0,15.0,28380.0,5887.0,227996.0,0
17,1327498365077172226,0.0,49.0,30.0,21.0,112.0,417.0,45991.0,0
18,753261688791699456,0.0,96.0,4.0,0.0,1532.0,4999.0,253949.0,0
19,4808850153,,,,,27.0,398.0,35741.0,0
20,1468810363311300609,1.0,90.0,8.0,0.0,1623.0,2236.0,113129.0,1
21,32232142,0.0,16.0,1.0,0.0,6338.0,2651.0,74803.0,0
22,3033082756,1.0,55.0,0.0,4.0,78.0,445.0,23758.0,0
23,24951569,,,,,1015.0,5000.0,64434.0,0
24,1329123577,0.0,89.0,4.0,7.0,513.0,1915.0,124218.0,0
25,168505436,5.0,88.0,2.0,5.0,1351.0,4999.0,366131.0,0
