,id,numberOfOriginalTweets,numberOfRetweets,numberOfReplies,numberOfQuotes,numberOfFollowers,numberOfFollowing,numberOfTweets,verified
0,126943410,0.0,99.0,0.0,0.0,1509.0,4998.0,108833.0,0
1,1146549086872408069,0.0,44.0,4.0,0.0,1.0,106.0,8142.0,0
2,24524761,0.0,80.0,20.0,0.0,203.0,403.0,182347.0,0
3,512966590,0.0,99.0,0.0,1.0,846.0,4989.0,59253.0,0
4,8743302,5.0,72.0,9.0,14.0,4317.0,2421.0,42464.0,0
5,4476020061,0.0,100.0,0.0,0.0,227.0,451.0,16446.0,0
6,1410388787612446721,9.0,38.0,53.0,0.0,466.0,226.0,14570.0,1
7,2673185698,0.0,97.0,3.0,0.0,1983.0,4998.0,448664.0,0
8,541529471,13.0,38.0,15.0,2.0,2652.0,5002.0,116857.0,1
9,2358170251,3.0,55.0,2.0,0.0,1145.0,1365.0,155905.0,0
10,1867750286,3.0,93.0,3.0,0.0,3437.0,4956.0,927704.0,0
11,47129792,0.0,45.0,0.0,1.0,773.0,1845.0,170571.0,0
12,1250488384746897410,,,,,9.0,46.0,1374.0,0
13,2910484010,0.0,90.0,8.0,2.0,1286.0,3797.0,71031.0,0
14,21703259,14.0,56.0,0.0,0.0,10006.0,9804.0,59667.0,0
15,2279566128,0.0,97.0,2.0,1.0,1232.0,1142.0,195123.0,0
16,16148602,34.0,39.0,14.0,12.0,28303.0,5899.0,228722.0,0
17,1327498365077172226,0.0,27.0,10.0,14.0,114.0,422.0,47635.0,0
18,753261688791699456,0.0,84.0,5.0,0.0,1529.0,5001.0,255029.0,0
19,4808850153,,,,,25.0,396.0,35721.0,0
20,1468810363311300609,1.0,85.0,9.0,0.0,1642.0,2301.0,120460.0,1
21,32232142,1.0,21.0,3.0,0.0,6317.0,2655.0,75155.0,0
22,3033082756,1.0,20.0,0.0,1.0,77.0,447.0,24261.0,0
23,24951569,12.0,88.0,0.0,0.0,1026.0,5002.0,65976.0,0
24,1329123577,0.0,90.0,4.0,6.0,535.0,1978.0,127196.0,0
25,168505436,4.0,93.0,2.0,0.0,1370.0,5001.0,368189.0,0
26,863454640796389376,0.0,93.0,3.0,0.0,2018.0,3460.0,81103.0,0
27,1181410363499106304,0.0,100.0,0.0,0.0,938.0,4547.0,190289.0,0
28,1117047552,0.0,99.0,1.0,0.0,707.0,648.0,209923.0,0
29,1415729358761775105,,,,,55.0,505.0,46068.0,0
30,46911568,3.0,89.0,6.0,0.0,142.0,637.0,200016.0,0
31,1009655651306475520,1.0,67.0,21.0,5.0,3624.0,4007.0,156828.0,0
32,1568124685,0.0,100.0,0.0,0.0,1703.0,4996.0,169440.0,0
33,809769590435758080,0.0,94.0,0.0,6.0,14501.0,14603.0,154744.0,0
34,215698464,1.0,97.0,1.0,0.0,2526.0,2452.0,474493.0,0
35,73803494,0.0,72.0,11.0,17.0,893.0,863.0,232116.0,0
