,id,numberOfOriginalTweets,numberOfRetweets,numberOfReplies,numberOfQuotes,numberOfFollowers,numberOfFollowing,numberOfTweets,verified
0,126943410,2.0,98.0,0.0,0.0,1429.0,5000.0,92276.0,0
1,1146549086872408069,1.0,77.0,9.0,0.0,2.0,117.0,7215.0,0
2,24524761,0.0,83.0,17.0,0.0,108.0,355.0,171204.0,0
3,512966590,0.0,82.0,1.0,0.0,847.0,4965.0,57714.0,0
4,8743302,3.0,81.0,2.0,14.0,4346.0,2354.0,38859.0,0
5,4476020061,0.0,97.0,3.0,0.0,163.0,439.0,14834.0,0
6,1410388787612446721,2.0,28.0,32.0,0.0,437.0,192.0,12996.0,1
7,2673185698,0.0,100.0,0.0,0.0,1981.0,4997.0,429274.0,0
8,541529471,10.0,38.0,3.0,4.0,2647.0,4999.0,115335.0,0
9,2358170251,5.0,92.0,2.0,1.0,1148.0,1352.0,154201.0,0
10,1867750286,1.0,98.0,1.0,0.0,3437.0,4945.0,925898.0,0
11,47129792,0.0,98.0,0.0,1.0,763.0,1815.0,167732.0,0
12,1250488384746897410,0.0,27.0,8.0,0.0,6.0,42.0,745.0,0
13,2910484010,0.0,96.0,4.0,0.0,1278.0,3718.0,68430.0,0
14,21703259,16.0,79.0,2.0,3.0,10015.0,9709.0,58030.0,0
15,2279566128,0.0,97.0,1.0,2.0,1200.0,1120.0,192480.0,0
16,16148602,12.0,70.0,9.0,9.0,28501.0,5940.0,226275.0,1
17,1327498365077172226,0.0,13.0,9.0,4.0,106.0,413.0,44966.0,0
18,753261688791699456,0.0,92.0,8.0,0.0,1540.0,4997.0,253096.0,0
19,4808850153,0.0,89.0,10.0,1.0,331.0,417.0,35657.0,0
20,1468810363311300609,0.0,90.0,10.0,0.0,1543.0,2157.0,105076.0,1
21,32232142,1.0,69.0,12.0,1.0,6337.0,2624.0,74444.0,0
22,3033082756,0.0,99.0,0.0,1.0,81.0,447.0,22545.0,0
23,24951569,6.0,94.0,0.0,0.0,1018.0,5004.0,62651.0,0
24,1329123577,0.0,85.0,0.0,15.0,502.0,1835.0,121020.0,0
25,168505436,8.0,91.0,0.0,1.0,1344.0,4994.0,363190.0,0
26,863454640796389376,0.0,99.0,1.0,0.0,2005.0,3419.0,79224.0,0
27,1181410363499106304,0.0,99.0,0.0,1.0,892.0,4657.0,177125.0,0
28,1117047552,0.0,98.0,2.0,0.0,703.0,641.0,206053.0,0
29,1415729358761775105,,,,,61.0,507.0,46222.0,0
30,46911568,0.0,93.0,7.0,0.0,123.0,588.0,197334.0,0
31,1009655651306475520,0.0,88.0,11.0,1.0,3573.0,4002.0,153936.0,0
32,1568124685,0.0,100.0,0.0,0.0,1658.0,5003.0,166286.0,0
33,809769590435758080,0.0,94.0,0.0,6.0,14447.0,14525.0,149780.0,0
34,215698464,0.0,98.0,0.0,2.0,2514.0,2425.0,461798.0,0
35,73803494,0.0,85.0,8.0,7.0,865.0,846.0,226035.0,0
36,1321935545690431489,0.0,73.0,25.0,2.0,80.0,198.0,35711.0,0
37,718426119951753216,0.0,93.0,7.0,0.0,1292.0,2633.0,126556.0,0
38,363070453,1.0,95.0,0.0,0.0,3947.0,4984.0,472372.0,0
39,3551046323,0.0,96.0,3.0,1.0,6010.0,5637.0,1042147.0,0
40,971123887407796225,0.0,93.0,4.0,3.0,2096.0,1072.0,128119.0,0
41,1421286320324833280,0.0,100.0,0.0,0.0,276.0,842.0,96544.0,0
42,312093132,0.0,95.0,5.0,0.0,1605.0,419.0,228183.0,0
43,185866880,0.0,84.0,6.0,10.0,1074.0,1826.0,253026.0,0
44,194833420,0.0,78.0,2.0,0.0,106.0,406.0,4177.0,0
45,1029774815358607360,0.0,57.0,10.0,0.0,143.0,911.0,24777.0,0
46,279237257,2.0,59.0,39.0,0.0,472.0,627.0,26118.0,0
47,962468301619294208,1.0,63.0,11.0,25.0,127.0,1591.0,35387.0,0
48,1629234705718743040,0.0,73.0,26.0,0.0,56.0,479.0,3130.0,0
49,97979745,0.0,100.0,0.0,0.0,12436.0,9380.0,185022.0,0
50,4428305440,0.0,100.0,0.0,0.0,327.0,4988.0,382789.0,0
51,1006186075390439424,2.0,80.0,17.0,1.0,3278.0,4956.0,85355.0,0
52,58290199,0.0,42.0,0.0,0.0,10073.0,11164.0,422928.0,0
53,1383949955195301888,14.0,33.0,4.0,0.0,201.0,163.0,4107.0,0
54,1250821743519961089,0.0,82.0,18.0,0.0,262.0,401.0,39026.0,0
55,765942979,0.0,46.0,6.0,5.0,1944.0,291.0,21046.0,0
56,574190667,0.0,99.0,1.0,0.0,423.0,656.0,77339.0,0
57,448706659,0.0,48.0,3.0,0.0,72.0,245.0,776.0,0
58,17751750,7.0,93.0,0.0,0.0,2113.0,1335.0,94011.0,0
59,1447359014233313282,0.0,100.0,0.0,0.0,186.0,240.0,13033.0,0
60,808416484989030401,1.0,45.0,0.0,5.0,85.0,1436.0,14988.0,0
61,4866717149,0.0,98.0,0.0,1.0,2856.0,4999.0,1169467.0,0
62,891754394580013056,2.0,77.0,20.0,1.0,151.0,125.0,35200.0,0
63,54918325,0.0,82.0,0.0,0.0,1410.0,5003.0,126347.0,0
64,908029048344936448,0.0,27.0,7.0,0.0,293.0,503.0,46807.0,0
65,1478091224099794945,0.0,93.0,5.0,1.0,164.0,812.0,38532.0,0
66,1575182558874112002,1.0,39.0,1.0,0.0,229.0,547.0,750.0,0
67,147992355,1.0,42.0,56.0,1.0,20372.0,3083.0,289726.0,0
68,738797460756127744,0.0,76.0,0.0,0.0,110.0,146.0,678.0,0
69,2342034456,0.0,100.0,0.0,0.0,882.0,2494.0,258852.0,0
70,1309846065617629184,1.0,55.0,41.0,3.0,364.0,30.0,18705.0,0
71,263751838,14.0,85.0,1.0,0.0,1844.0,5001.0,120895.0,0
72,1071892785098317824,0.0,93.0,7.0,0.0,821.0,469.0,81826.0,0
73,918893786553602048,8.0,35.0,19.0,38.0,1003.0,339.0,35505.0,0
74,2887070351,1.0,98.0,1.0,0.0,1658.0,5000.0,449411.0,0
75,1308580280165376002,0.0,100.0,0.0,0.0,260.0,43.0,10062.0,0
76,1099102523405811712,0.0,100.0,0.0,0.0,117.0,491.0,226610.0,0
77,3804407473,5.0,48.0,0.0,0.0,994.0,2419.0,6777.0,0
78,43354683,3.0,92.0,1.0,4.0,969.0,5000.0,47278.0,0
79,1196926351015632901,0.0,100.0,0.0,0.0,1359.0,4680.0,79628.0,0
80,840204498,0.0,82.0,9.0,7.0,1232.0,1266.0,18166.0,0
81,1379824802,5.0,95.0,0.0,0.0,11386.0,36.0,84845.0,0
82,610906968,0.0,100.0,0.0,0.0,2826.0,1714.0,193744.0,0
83,4130249369,0.0,99.0,0.0,1.0,2269.0,4063.0,179557.0,0
84,195036383,13.0,56.0,31.0,0.0,725.0,1427.0,159099.0,0
85,4726547997,0.0,99.0,1.0,0.0,158.0,301.0,20332.0,0
86,1591122259665616913,0.0,100.0,0.0,0.0,78.0,314.0,12986.0,0
87,14924757,5.0,95.0,0.0,0.0,829.0,2214.0,71034.0,0
