,id,numberOfOriginalTweets,numberOfRetweets,numberOfReplies,numberOfQuotes,numberOfFollowers,numberOfFollowing,numberOfTweets,verified
0,126943410,2.0,96.0,2.0,0.0,1511.0,5000.0,109317.0,0
1,1146549086872408069,0.0,46.0,3.0,0.0,1.0,107.0,8167.0,0
2,24524761,0.0,87.0,13.0,0.0,206.0,403.0,182735.0,0
3,512966590,0.0,63.0,0.0,1.0,846.0,4989.0,59283.0,0
4,8743302,2.0,80.0,1.0,17.0,4314.0,2421.0,42585.0,0
5,4476020061,0.0,93.0,7.0,0.0,236.0,452.0,16522.0,0
6,1410388787612446721,1.0,20.0,79.0,0.0,466.0,227.0,14689.0,0
7,2673185698,0.0,98.0,2.0,0.0,1987.0,5002.0,449019.0,0
8,541529471,10.0,46.0,7.0,17.0,2653.0,5002.0,116909.0,1
9,2358170251,5.0,68.0,3.0,3.0,1144.0,1365.0,155943.0,0
10,1867750286,1.0,65.0,0.0,0.0,3438.0,4956.0,927718.0,0
11,47129792,0.0,10.0,0.0,0.0,773.0,1846.0,170568.0,0
12,1250488384746897410,,,,,9.0,46.0,1374.0,0
13,2910484010,0.0,93.0,6.0,1.0,1285.0,3796.0,71075.0,0
14,21703259,7.0,56.0,0.0,3.0,10008.0,9806.0,59699.0,0
15,2279566128,,,,,1232.0,1142.0,195122.0,0
16,16148602,7.0,44.0,5.0,8.0,28305.0,5898.0,228728.0,0
17,1327498365077172226,0.0,38.0,18.0,11.0,114.0,423.0,47661.0,0
18,753261688791699456,0.0,93.0,7.0,0.0,1531.0,5002.0,255068.0,0
19,4808850153,,,,,25.0,396.0,35721.0,0
20,1468810363311300609,16.0,77.0,7.0,0.0,1641.0,2300.0,120701.0,1
21,32232142,1.0,23.0,1.0,0.0,6318.0,2656.0,75165.0,0
22,3033082756,0.0,19.0,0.0,0.0,77.0,447.0,24278.0,0
23,24951569,10.0,82.0,0.0,0.0,1026.0,5001.0,65983.0,0
24,1329123577,0.0,96.0,0.0,4.0,536.0,1980.0,127314.0,0
25,168505436,4.0,92.0,2.0,2.0,1371.0,5001.0,368396.0,0
26,863454640796389376,0.0,53.0,0.0,0.0,2014.0,3461.0,81145.0,0
27,1181410363499106304,0.0,99.0,0.0,0.0,941.0,4547.0,191023.0,0
28,1117047552,0.0,100.0,0.0,0.0,709.0,648.0,210042.0,0
29,1415729358761775105,,,,,55.0,505.0,46067.0,0
30,46911568,0.0,47.0,0.0,0.0,141.0,638.0,199962.0,0
31,1009655651306475520,1.0,73.0,22.0,4.0,3622.0,4009.0,156893.0,0
32,1568124685,0.0,99.0,0.0,0.0,1701.0,4996.0,169508.0,0
33,809769590435758080,0.0,94.0,0.0,6.0,14501.0,14603.0,154793.0,0
34,215698464,0.0,97.0,0.0,3.0,2527.0,2456.0,474713.0,0
35,73803494,3.0,85.0,5.0,7.0,892.0,863.0,232248.0,0
36,1321935545690431489,1.0,43.0,7.0,0.0,86.0,199.0,36944.0,0
37,718426119951753216,0.0,95.0,4.0,1.0,1342.0,2677.0,135595.0,0
38,363070453,0.0,100.0,0.0,0.0,4122.0,4995.0,527072.0,0
39,3551046323,0.0,95.0,1.0,4.0,6059.0,5716.0,1070731.0,0
40,971123887407796225,1.0,92.0,5.0,2.0,2191.0,1141.0,133848.0,0
41,1421286320324833280,0.0,100.0,0.0,0.0,293.0,854.0,103486.0,0
42,312093132,0.0,25.0,0.0,0.0,1603.0,418.0,229746.0,0
43,185866880,0.0,94.0,0.0,6.0,1117.0,1928.0,267192.0,0
44,194833420,0.0,38.0,0.0,0.0,128.0,455.0,5075.0,0
45,1029774815358607360,0.0,39.0,10.0,0.0,145.0,948.0,25694.0,0
46,279237257,0.0,50.0,40.0,0.0,543.0,705.0,29285.0,0
47,962468301619294208,0.0,72.0,20.0,8.0,141.0,1619.0,39929.0,0
48,1629234705718743040,,,,,45.0,478.0,3100.0,0
49,97979745,0.0,100.0,0.0,0.0,12463.0,9642.0,218562.0,0
50,4428305440,1.0,99.0,0.0,0.0,323.0,4992.0,399230.0,0
51,1006186075390439424,1.0,91.0,5.0,3.0,3300.0,4977.0,91101.0,0
52,58290199,,,,,9997.0,11117.0,408152.0,0
53,1383949955195301888,5.0,0.0,1.0,0.0,316.0,110.0,4504.0,0
54,1250821743519961089,0.0,69.0,6.0,0.0,278.0,439.0,41613.0,0
55,765942979,1.0,25.0,2.0,1.0,1941.0,327.0,21819.0,0
56,574190667,0.0,98.0,0.0,2.0,434.0,661.0,79860.0,0
57,448706659,,,,,64.0,262.0,1108.0,0
58,17751750,3.0,97.0,0.0,0.0,2117.0,1353.0,96130.0,0
59,1447359014233313282,,,,,182.0,263.0,14626.0,0
60,808416484989030401,0.0,100.0,0.0,0.0,127.0,1477.0,18656.0,0
61,4866717149,0.0,98.0,0.0,2.0,2856.0,4999.0,1193762.0,0
62,891754394580013056,0.0,21.0,1.0,0.0,155.0,139.0,35823.0,0
63,54918325,0.0,23.0,0.0,0.0,1421.0,4980.0,127374.0,0
64,908029048344936448,0.0,29.0,15.0,5.0,298.0,496.0,48161.0,0
65,1478091224099794945,0.0,82.0,4.0,7.0,178.0,881.0,44864.0,0
66,1575182558874112002,,,,,229.0,331.0,817.0,0
67,147992355,0.0,63.0,26.0,11.0,21694.0,3128.0,294171.0,0
68,738797460756127744,0.0,59.0,0.0,0.0,169.0,157.0,1751.0,0
69,2342034456,0.0,100.0,0.0,0.0,1011.0,2503.0,283267.0,0
70,1309846065617629184,3.0,75.0,20.0,2.0,390.0,43.0,21192.0,0
71,263751838,0.0,100.0,0.0,0.0,1962.0,4996.0,137365.0,0
72,1071892785098317824,0.0,92.0,6.0,0.0,836.0,502.0,83915.0,0
73,918893786553602048,0.0,16.0,4.0,5.0,1008.0,302.0,36307.0,0
74,2887070351,2.0,90.0,8.0,0.0,1669.0,4980.0,465218.0,0
75,1308580280165376002,0.0,100.0,0.0,0.0,369.0,50.0,14427.0,0
76,1099102523405811712,0.0,100.0,0.0,0.0,132.0,414.0,240955.0,0
77,3804407473,2.0,13.0,0.0,1.0,1007.0,2511.0,8059.0,0
78,43354683,6.0,91.0,0.0,3.0,1038.0,5002.0,52006.0,0
79,1196926351015632901,0.0,100.0,0.0,0.0,1404.0,4696.0,95087.0,0
80,840204498,0.0,33.0,7.0,7.0,1299.0,1318.0,19895.0,0
81,1379824802,1.0,57.0,0.0,0.0,11550.0,38.0,86665.0,0
82,610906968,0.0,100.0,0.0,0.0,2817.0,1753.0,198562.0,0
83,4130249369,0.0,98.0,1.0,1.0,2263.0,4052.0,184403.0,0
84,195036383,,,,,729.0,1434.0,160565.0,0
85,4726547997,0.0,85.0,0.0,0.0,166.0,301.0,21242.0,0
86,1591122259665616913,0.0,100.0,0.0,0.0,123.0,365.0,18169.0,0
87,14924757,3.0,97.0,0.0,0.0,855.0,2222.0,73730.0,0
88,332682421,1.0,98.0,1.0,0.0,1382.0,414.0,193141.0,0
89,1203830365057617920,0.0,66.0,0.0,0.0,119.0,392.0,28668.0,0
90,1467209986086371329,0.0,3.0,5.0,0.0,107.0,137.0,14678.0,0
91,1485332827,,,,,2173.0,2318.0,56524.0,0
92,156579343,1.0,92.0,3.0,4.0,1323.0,1342.0,261685.0,0
93,791635240296919040,0.0,26.0,0.0,0.0,156.0,1778.0,6660.0,0
94,549286123,0.0,96.0,3.0,1.0,218.0,3758.0,29897.0,0
95,1066275282653536256,0.0,98.0,0.0,1.0,1743.0,5001.0,955494.0,0
96,1254066229020700672,0.0,48.0,0.0,1.0,1039.0,5001.0,18360.0,0
97,1411726710,0.0,51.0,8.0,1.0,362.0,72.0,89877.0,0
98,3316815356,,,,,77.0,4842.0,3050.0,0
99,1314632168681897985,0.0,100.0,0.0,0.0,312.0,2392.0,49964.0,0
100,2692441893,0.0,58.0,0.0,0.0,50.0,267.0,21041.0,0
101,118794845,,,,,,,,0
102,809424049,0.0,100.0,0.0,0.0,847.0,3138.0,19324.0,0
103,1371406279458095104,0.0,78.0,4.0,0.0,304.0,26.0,7818.0,0
104,1259593528675577857,,,,,72.0,163.0,6960.0,0
105,1520322745887870976,0.0,99.0,0.0,1.0,76.0,1132.0,44299.0,0
106,1372132990848016385,4.0,96.0,0.0,0.0,290.0,1372.0,74602.0,0
107,1484172541879107584,0.0,93.0,7.0,0.0,829.0,443.0,40417.0,0
108,115907262,17.0,62.0,20.0,1.0,2663.0,4968.0,363521.0,0
109,1561092100296527876,0.0,92.0,2.0,0.0,1641.0,2420.0,159989.0,0
110,1391299076,0.0,97.0,2.0,1.0,1587.0,4998.0,138383.0,0
111,39565575,0.0,12.0,0.0,0.0,1144.0,627.0,56836.0,0
112,15677734,2.0,97.0,1.0,0.0,1874.0,4470.0,561066.0,0
113,190897786,0.0,94.0,0.0,0.0,72.0,125.0,23578.0,0
114,20826640,1.0,96.0,0.0,3.0,2030.0,2030.0,356021.0,0
115,1498957402091266052,0.0,51.0,4.0,0.0,19.0,72.0,10747.0,0
116,50445229,0.0,33.0,5.0,0.0,1463.0,4998.0,41808.0,0
117,1497471523275345920,0.0,100.0,0.0,0.0,28.0,86.0,42177.0,0
118,988277286204932096,0.0,93.0,7.0,0.0,663.0,1640.0,156021.0,0
119,454653353,0.0,73.0,0.0,3.0,98.0,219.0,31679.0,0
120,1858208300,0.0,96.0,4.0,0.0,313.0,111.0,13705.0,0
121,1597603886365286400,12.0,82.0,0.0,0.0,13.0,66.0,5215.0,0
122,1503983593370042369,0.0,20.0,2.0,0.0,11.0,27.0,3006.0,0
123,3163491621,9.0,90.0,1.0,0.0,556.0,4921.0,86825.0,0
124,1449406611550785540,1.0,84.0,13.0,2.0,10412.0,1799.0,26575.0,0
125,919937808172834818,0.0,100.0,0.0,0.0,1924.0,381.0,134330.0,0
126,3047679997,0.0,21.0,2.0,0.0,19.0,117.0,7097.0,0
127,106902512,0.0,99.0,1.0,0.0,179.0,664.0,66332.0,0
128,1199154956760055808,0.0,28.0,0.0,0.0,98.0,92.0,6827.0,0
129,1498379996,0.0,100.0,0.0,0.0,281.0,142.0,194872.0,0
130,388187529,0.0,88.0,12.0,0.0,2211.0,4582.0,224733.0,0
131,1317998036132352000,8.0,46.0,0.0,3.0,1.0,94.0,21189.0,0
132,2904916593,0.0,99.0,1.0,0.0,314.0,994.0,111269.0,0
133,930415257176170496,0.0,100.0,0.0,0.0,187.0,510.0,65244.0,0
134,796473629617819652,0.0,96.0,1.0,3.0,1584.0,4963.0,478628.0,0
