,id,numberOfOriginalTweets,numberOfRetweets,numberOfReplies,numberOfQuotes,numberOfFollowers,numberOfFollowing,numberOfTweets,verified
0,126943410,2.0,97.0,1.0,0.0,1451.0,4994.0,97181.0,0
1,1146549086872408069,0.0,49.0,6.0,1.0,2.0,116.0,7524.0,0
2,24524761,0.0,73.0,27.0,0.0,145.0,380.0,177026.0,0
3,512966590,0.0,19.0,0.0,0.0,850.0,4963.0,58060.0,0
4,8743302,2.0,71.0,9.0,18.0,4339.0,2376.0,40160.0,0
5,4476020061,0.0,19.0,0.0,0.0,167.0,439.0,15072.0,0
6,1410388787612446721,1.0,8.0,1.0,0.0,436.0,195.0,13194.0,1
7,2673185698,0.0,98.0,2.0,0.0,1973.0,5002.0,435290.0,0
8,541529471,7.0,23.0,6.0,2.0,2640.0,4993.0,115908.0,1
9,2358170251,3.0,94.0,0.0,3.0,1146.0,1357.0,154903.0,0
10,1867750286,0.0,100.0,0.0,0.0,3436.0,4951.0,927475.0,0
11,47129792,0.0,99.0,0.0,1.0,764.0,1821.0,168720.0,0
12,1250488384746897410,0.0,6.0,0.0,0.0,5.0,43.0,969.0,0
13,2910484010,0.0,91.0,9.0,0.0,1282.0,3763.0,69308.0,0
14,21703259,6.0,31.0,0.0,2.0,10010.0,9721.0,58655.0,0
15,2279566128,0.0,54.0,0.0,2.0,1203.0,1128.0,193762.0,0
16,16148602,13.0,68.0,9.0,10.0,28421.0,5893.0,227609.0,0
17,1327498365077172226,1.0,32.0,14.0,16.0,109.0,415.0,45708.0,0
18,753261688791699456,0.0,92.0,8.0,0.0,1530.0,4999.0,253871.0,0
19,4808850153,,,,,332.0,421.0,35802.0,0
20,1468810363311300609,1.0,86.0,13.0,0.0,1557.0,2197.0,109133.0,1
21,32232142,1.0,66.0,29.0,0.0,6345.0,2646.0,74693.0,0
22,3033082756,7.0,86.0,0.0,4.0,78.0,445.0,23379.0,0
23,24951569,8.0,92.0,0.0,0.0,1015.0,5001.0,63839.0,0
24,1329123577,0.0,89.0,5.0,6.0,511.0,1898.0,122876.0,0
25,168505436,3.0,94.0,1.0,2.0,1349.0,4997.0,365375.0,0
26,863454640796389376,0.0,100.0,0.0,0.0,2004.0,3424.0,79980.0,0
27,1181410363499106304,0.0,100.0,0.0,0.0,900.0,4630.0,180949.0,0
28,1117047552,0.0,100.0,0.0,0.0,702.0,641.0,207375.0,0
29,1415729358761775105,,,,,60.0,504.0,46147.0,0
30,46911568,4.0,85.0,11.0,0.0,128.0,645.0,198597.0,0
31,1009655651306475520,1.0,80.0,18.0,1.0,3598.0,3991.0,155505.0,0
32,1568124685,0.0,100.0,0.0,0.0,1667.0,4997.0,167107.0,0
33,809769590435758080,0.0,92.0,0.0,8.0,14455.0,14555.0,151895.0,0
34,215698464,0.0,93.0,0.0,7.0,2518.0,2439.0,465549.0,0
35,73803494,0.0,74.0,10.0,16.0,871.0,855.0,228678.0,0
36,1321935545690431489,2.0,52.0,12.0,0.0,83.0,198.0,36133.0,0
37,718426119951753216,2.0,92.0,4.0,2.0,1308.0,2658.0,129800.0,0
38,363070453,0.0,100.0,0.0,0.0,4010.0,4990.0,491901.0,0
39,3551046323,1.0,85.0,5.0,9.0,6002.0,5660.0,1051793.0,0
40,971123887407796225,0.0,88.0,10.0,2.0,2108.0,1112.0,130322.0,0
41,1421286320324833280,0.0,100.0,0.0,0.0,289.0,847.0,99491.0,0
42,312093132,0.0,67.0,3.0,0.0,1601.0,418.0,228449.0,0
43,185866880,0.0,94.0,4.0,2.0,1089.0,1878.0,259325.0,0
44,194833420,0.0,26.0,2.0,0.0,105.0,428.0,4429.0,0
45,1029774815358607360,0.0,70.0,18.0,0.0,150.0,927.0,25216.0,0
46,279237257,0.0,65.0,34.0,1.0,491.0,654.0,27427.0,0
47,962468301619294208,5.0,65.0,19.0,11.0,132.0,1603.0,36896.0,0
48,1629234705718743040,,,,,53.0,479.0,3124.0,0
49,97979745,0.0,99.0,0.0,1.0,12400.0,9388.0,190163.0,0
50,4428305440,0.0,100.0,0.0,0.0,328.0,4988.0,388466.0,0
51,1006186075390439424,0.0,88.0,10.0,1.0,3287.0,4960.0,87620.0,0
52,58290199,0.0,4.0,0.0,0.0,10035.0,11140.0,422910.0,0
53,1383949955195301888,3.0,16.0,1.0,0.0,287.0,122.0,4345.0,0
54,1250821743519961089,1.0,96.0,3.0,0.0,269.0,428.0,40080.0,0
55,765942979,0.0,26.0,8.0,1.0,1944.0,295.0,21115.0,0
56,574190667,,,,,423.0,657.0,77995.0,0
57,448706659,0.0,18.0,0.0,0.0,69.0,271.0,943.0,0
58,17751750,41.0,4.0,0.0,0.0,2116.0,1338.0,94593.0,0
59,1447359014233313282,0.0,41.0,0.0,0.0,219.0,258.0,14394.0,0
60,808416484989030401,0.0,21.0,0.0,0.0,100.0,1465.0,15651.0,0
61,4866717149,0.0,97.0,2.0,1.0,2850.0,5001.0,1178946.0,0
62,891754394580013056,2.0,42.0,12.0,4.0,156.0,129.0,35502.0,0
63,54918325,0.0,81.0,0.0,0.0,1412.0,4946.0,126684.0,0
64,908029048344936448,0.0,50.0,10.0,0.0,296.0,504.0,47162.0,0
65,1478091224099794945,0.0,91.0,2.0,7.0,170.0,824.0,40777.0,0
