,id,numberOfOriginalTweets,numberOfRetweets,numberOfReplies,numberOfQuotes,numberOfFollowers,numberOfFollowing,numberOfTweets,verified
0,126943410,4.0,95.0,1.0,0.0,1448.0,5000.0,96486.0,0
1,1146549086872408069,0.0,37.0,6.0,0.0,2.0,117.0,7459.0,0
2,24524761,0.0,92.0,8.0,0.0,141.0,380.0,176261.0,0
3,512966590,0.0,48.0,0.0,0.0,849.0,4964.0,58037.0,0
4,8743302,2.0,84.0,2.0,12.0,4341.0,2370.0,39931.0,0
5,4476020061,0.0,6.0,0.0,0.0,169.0,439.0,15057.0,0
6,1410388787612446721,0.0,9.0,1.0,0.0,436.0,195.0,13189.0,1
7,2673185698,0.0,98.0,2.0,0.0,1976.0,4998.0,433894.0,0
8,541529471,0.0,13.0,13.0,4.0,2648.0,5001.0,115876.0,1
9,2358170251,8.0,55.0,1.0,3.0,1147.0,1354.0,154734.0,0
10,1867750286,2.0,97.0,1.0,0.0,3435.0,4951.0,927397.0,0
11,47129792,0.0,99.0,0.0,1.0,764.0,1820.0,168525.0,0
12,1250488384746897410,2.0,28.0,1.0,0.0,6.0,43.0,945.0,0
13,2910484010,0.0,58.0,6.0,0.0,1279.0,3713.0,69139.0,0
14,21703259,9.0,70.0,2.0,2.0,10015.0,9717.0,58590.0,0
15,2279566128,0.0,96.0,1.0,3.0,1202.0,1126.0,193697.0,0
16,16148602,14.0,65.0,14.0,7.0,28417.0,5888.0,227457.0,0
17,1327498365077172226,0.0,37.0,22.0,25.0,107.0,416.0,45647.0,0
18,753261688791699456,0.0,94.0,6.0,0.0,1530.0,5001.0,253720.0,0
19,4808850153,0.0,0.0,4.0,1.0,334.0,421.0,35805.0,0
20,1468810363311300609,0.0,96.0,4.0,0.0,1540.0,2175.0,107868.0,1
21,32232142,1.0,53.0,7.0,2.0,6328.0,2639.0,74602.0,0
22,3033082756,2.0,77.0,0.0,0.0,79.0,446.0,23243.0,0
23,24951569,9.0,91.0,0.0,0.0,1016.0,5000.0,63633.0,0
24,1329123577,0.0,91.0,1.0,8.0,512.0,1884.0,122573.0,0
25,168505436,0.0,100.0,0.0,0.0,1344.0,4997.0,365067.0,0
26,863454640796389376,0.0,95.0,2.0,0.0,2006.0,3438.0,79843.0,0
27,1181410363499106304,0.0,99.0,0.0,1.0,902.0,4635.0,180646.0,0
28,1117047552,0.0,99.0,1.0,0.0,702.0,641.0,207115.0,0
29,1415729358761775105,,,,,60.0,504.0,46156.0,0
30,46911568,1.0,81.0,18.0,0.0,127.0,639.0,198455.0,0
31,1009655651306475520,2.0,66.0,23.0,9.0,3601.0,3999.0,155315.0,0
32,1568124685,0.0,86.0,0.0,0.0,1661.0,4997.0,166869.0,0
33,809769590435758080,0.0,87.0,0.0,13.0,14438.0,14536.0,151484.0,0
34,215698464,1.0,93.0,2.0,4.0,2519.0,2439.0,464826.0,0
35,73803494,0.0,74.0,18.0,8.0,869.0,856.0,228302.0,0
36,1321935545690431489,1.0,36.0,4.0,2.0,81.0,199.0,36050.0,0
37,718426119951753216,0.0,91.0,8.0,1.0,1311.0,2657.0,129269.0,0
38,363070453,0.0,100.0,0.0,0.0,3998.0,4989.0,488587.0,0
39,3551046323,1.0,94.0,4.0,1.0,6005.0,5657.0,1050618.0,0
40,971123887407796225,1.0,93.0,6.0,0.0,2100.0,1097.0,129725.0,0
41,1421286320324833280,0.0,96.0,0.0,0.0,283.0,845.0,99002.0,0
42,312093132,0.0,45.0,0.0,0.0,1604.0,418.0,228380.0,0
43,185866880,0.0,76.0,14.0,10.0,1086.0,1870.0,258595.0,0
44,194833420,0.0,7.0,0.0,0.0,106.0,428.0,4394.0,0
45,1029774815358607360,0.0,43.0,13.0,0.0,146.0,924.0,25091.0,0
46,279237257,0.0,58.0,42.0,0.0,490.0,650.0,27200.0,0
47,962468301619294208,3.0,77.0,10.0,10.0,132.0,1599.0,36700.0,0
48,1629234705718743040,,,,,54.0,479.0,3124.0,0
49,97979745,1.0,99.0,0.0,0.0,12397.0,9389.0,189298.0,0
50,4428305440,0.0,100.0,0.0,0.0,327.0,4987.0,387598.0,0
51,1006186075390439424,0.0,79.0,19.0,2.0,3279.0,4954.0,87367.0,0
52,58290199,0.0,23.0,0.0,0.0,10045.0,11145.0,422915.0,0
53,1383949955195301888,9.0,44.0,11.0,0.0,278.0,123.0,4324.0,0
54,1250821743519961089,0.0,95.0,5.0,0.0,268.0,423.0,39956.0,0
55,765942979,0.0,14.0,1.0,2.0,1940.0,295.0,21079.0,0
56,574190667,,,,,420.0,657.0,77980.0,0
57,448706659,0.0,10.0,0.0,0.0,68.0,268.0,921.0,0
58,17751750,21.0,4.0,0.0,0.0,2116.0,1338.0,94552.0,0
59,1447359014233313282,0.0,83.0,1.0,0.0,221.0,258.0,14374.0,0
60,808416484989030401,0.0,32.0,0.0,0.0,94.0,1464.0,15600.0,0
61,4866717149,1.0,98.0,0.0,1.0,2847.0,4998.0,1177748.0,0
62,891754394580013056,0.0,28.0,10.0,0.0,150.0,131.0,35438.0,0
63,54918325,0.0,39.0,0.0,0.0,1410.0,5004.0,126590.0,0
